Original,Part of,Translation
Cost:,Cost: 1 pt per range increment,Coste:
Grants,Grants +16 to Acrobatics,Concede
to Acrobatics,Grants +16 to Acrobatics,a Acrobacias
AC,Bonus to attack rolls and dodge bonus to AC|when fighting larger creatures,CA
Bonus Spells,Bonus Spells|CHA,Conjuros Adicionales
CHA,Bonus Spells|CHA,CAR
RAGE!,RAGE! CONVERSION,FURIA!
CONVERSION,RAGE! CONVERSION,CONVERSIÓN
Slow Fall,Slow Fall 50 ft,Caída Lentificada
50 ft,Slow Fall 50 ft,50'
DAMAGE,BACKLASH|DAMAGE,DAÑO
PER DAY,FORTUNE|PER DAY,AL DÍA
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,CD Acrobacias = 5 + DMC del oponente
CMD,Acrobatics DC = 5 + Opponent’s CMD,BMC
Coordinated Charge,Coordinated Charge    Charge the same foe as an ally,Carga Coordinada
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,Carga contra el mismo objetivo que el aliado
Damage Reduction 1/,Damage Reduction 1/―,Reducción de Daño 1/
Level 16:,Level 16: Twice per day,Nivel 16:
Twice per day,Level 16: Twice per day,Dos veces al día
Improved Shield Bash,Improved Shield Bash    Use Shield Bash and keep your shield bonus to AC,Golpe con Escudo Mejorado
Use Shield Bash and keep your shield bonus to,Improved Shield Bash    Use Shield Bash and keep your shield bonus to AC,Usa Golpear con EScudo y mantén tu bon de escudo a
AC,Improved Shield Bash    Use Shield Bash and keep your shield bonus to AC,CA
INTIMIDATE,INTIMIDATE|BONUS,INTIMIDAR
BONUS,INTIMIDATE|BONUS,BONUS
"economy,","+4 economy, -8 loyalty","economía,"
loyalty,"+4 economy, -8 loyalty",lealtad
Sneaking Precision,Sneaking Precision    Apply a critical effect to the,Precisión furtiva
Apply a critical effect to the,Sneaking Precision    Apply a critical effect to the,Aplicas un efecto crítico al
BONUS,PERCEPTION|BONUS,BONUS
CMB,Roll twice for CMB - 1 ki point,BMC
1 ki point,Roll twice for CMB - 1 ki point,1 punto ki
TO DESTROY CREATURE,TO DESTROY CREATURE  MAX HIT DICE,PARA DESTRUIR CRIATURA
ARMOUR,ARMOUR BONUS,ARMADURA
BONUS,ARMOUR BONUS,BONUS
RAGE,RAGE|TODAY,FURIA
TODAY,RAGE|TODAY,HOY
Fast Movement,Fast Movement +30 ft,Movimiento Rápido
+30 ft,Fast Movement +30 ft,+30 ft
Improved Two-weapon Fighting,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Combate con dos armas mejorado
Second attack with your off-hand weapon,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Segundo ataque con arma mano torpe
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,Hendedura final
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,Ataque extra si el enemigo queda fuera de combate
TOUCH,TOUCH AC,CA de
AC,TOUCH AC,TOQUE
ft,30 ft,'
RAGE,"If you fail a will save against a mind-affecting effect,|at the start of your next turn you can try again.|If you succeed, you RAGE and are CONFUSED.",FURIA
JUDGEMENTS,JUDGEMENTS|PER DAY,JUICIOS
PER DAY,JUDGEMENTS|PER DAY,AL DÍA
Masterwork,Masterwork     Doesn’t stack with magic bonus,Gran Calidad
Doesn’t stack with magic bonus,Masterwork     Doesn’t stack with magic bonus,No acumula con bonus mágicos
Grants,Grants +12 to Acrobatics,Concede
to Acrobatics,Grants +12 to Acrobatics,a Acrobacias
Natural armour bonus to,Natural armour bonus to AC|(does not stack with natural armour),Bonus armadura natural a
AC,Natural armour bonus to AC|(does not stack with natural armour),CA
(does not stack with natural armour),Natural armour bonus to AC|(does not stack with natural armour),(no acumulable con armadura natural)
BONUS,NO TRACE|BONUS,BONUS
Critical Focus,Critical Focus),Soltura con críticos
CRITICAL,CRITICAL EFFECTS,EFECTOS
EFFECTS,CRITICAL EFFECTS,CRÍTICOS
AC,"As a swift action, make a wisdom check (above). If successful, gain +2 to attack |until the end of your turn, and ignore damage reduction and hardness.|Alternatively, add half your level to Sense Motive, Reflex saves and a dodge bonus to AC until your next turn.",CA
Broken Wing Gambit,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",Tactica del Ala rota
Grant,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",Otorga 
", get attack of opportunity","Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",", otorga ataque de oportunidad"
PER DAY,TOUCH OF|SERENITY|PER DAY,AL DÍA
Craft -,Craft - INT|Perform - CHA,Artesanía -
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Interpretar -
CHA,Craft - INT|Perform - CHA,CAR
MIGHTY,MIGHTY BLOODRAGE!,PODEROSA
BLOODRAGE!,MIGHTY BLOODRAGE!,¡Furia de sangre!
Damage Reduction 4/,Damage Reduction 4/―,Reducción de Daño 4/
UNREST,UNREST LEVEL,NIVEL
LEVEL,UNREST LEVEL,MALESTAR
Pinpoint Targeting,"Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour",Puntería Precisa
"Make a single attack that bypasses shields, armour and natural armour","Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour","Hace un solo ataque que ignora escudos, armadura y armadura natural"
AC,Bonus to initiative and AC during surprise rounds,CA
MAX WEAPON,MAX WEAPON|ENHANCEMENT,Mejora máxima
ENHANCEMENT,MAX WEAPON|ENHANCEMENT,del arma
FORTITUDE,FORTITUDE SAVE,SALVACIÓN DE
SAVE,FORTITUDE SAVE,FORTALEZA
ETHERIAL,ETHERIAL|ROUNDS,ASALTOS
ROUNDS,ETHERIAL|ROUNDS,ETEREO
ENERGY,ENERGY ROLL,ENERGÍA
ROLL,ENERGY ROLL,TIRADA
Bonus to,Bonus to AC that applies only to|critical hit confirmation rolls,Bonus a
AC,Bonus to AC that applies only to|critical hit confirmation rolls,CA
SAVE,SAVE DC,CD
DC,SAVE DC,Salvacion
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,Asume estado etereo durante 1 minuto -
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 puntos ki
SAVING,SAVING|THROW DC,SALV
THROW DC,SAVING|THROW DC,CD DE LANZAMIENTO
(which grants,(which grants +12 to Acrobatics checks for jumping),(el cual otorga
to Acrobatics checks for jumping),(which grants +12 to Acrobatics checks for jumping),a pruebas de Acrobacia para saltar)
RAGE!,RAGE! 1/day,FURIA!
1/day,RAGE! 1/day,1/día
PER DAY,PERFORMANCE|PER DAY,AL DÍA
KNOWLEDGE,KNOWLEDGE BONUS,BONUS
BONUS,KNOWLEDGE BONUS,SABER
Enforce rural justice,"Enforce rural justice – If vacant, -4 economy",Hace cumpli la justicia rural
"– If vacant,","Enforce rural justice – If vacant, -4 economy","- Si vacante,"
economy,"Enforce rural justice – If vacant, -4 economy",economía
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Disparo Preciso
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Sin penalización -4 por disparar a melee
DODGE,DODGE|BONUS,ESQUIVA
BONUS,DODGE|BONUS,BONUS
DURATION,SCENT ABIILITY|DURATION,DURACIÓN
FOES,FOES|PER DAY,ENEMIGOS
PER DAY,FOES|PER DAY,AL DÍA
"loyalty,","+2 loyalty, +2bp consumption","lealtad,"
+2bp,"+2 loyalty, +2bp consumption",+2bp
consumption,"+2 loyalty, +2bp consumption",consumo
Slow Fall,Slow Fall 90 ft,Caída Lentificada
90 ft,Slow Fall 90 ft,90'
ENERGY,ENERGY|ROLL,TIRADA DE
ROLL,ENERGY|ROLL,ENERGÍA
"On a critical, Fort (DC 10 + ½ level +","On a critical, Fort (DC 10 + ½ level + DEX) or die","En un crítico, Fort (CD 10 + ½ Nivel +"
DEX,"On a critical, Fort (DC 10 + ½ level + DEX) or die",DES
) or die,"On a critical, Fort (DC 10 + ½ level + DEX) or die",) o muere
"loyalty,","+1 loyalty, +1bp consumption","lealtad,"
+1bp,"+1 loyalty, +1bp consumption",+1bp
consumption,"+1 loyalty, +1bp consumption",consumo
FORTITUDE,FORTITUDE|SAVE DC,FORTALEZA
FORTITUDE|SAVE,FORTITUDE|SAVE DC,CD SALV
SAVE DC,FORTITUDE|SAVE DC,CD SALV
DC,FORTITUDE|SAVE DC,CD
Slow Fall,Slow Fall 70 ft,Caída lentificada
70 ft,Slow Fall 70 ft,70 ft
PER DAY,PERFECT STRIKE|PER DAY,AL DÍA
RAGE!,RAGE!|TODAY,¡FURIA!
TODAY,RAGE!|TODAY,HOY
OPPOSED,OPPOSED SCHOOLS,OPUESTAS
SCHOOLS,OPPOSED SCHOOLS,ESCUELAS
Hammer the Gap,Hammer the Gap    On a successful attack,Golpea en el Hueco
On a successful attack,Hammer the Gap    On a successful attack,Tras un ataque exitoso
RAGE!,RAGE! POWERS,PODERES
POWERS,RAGE! POWERS,FURIA!
RAGE!,RAGE!  DURATION|PER DAY,¡FURIA!
DURATION,RAGE!  DURATION|PER DAY,DURACIÓN
PER DAY,RAGE!  DURATION|PER DAY,AL DÍA
VICTIMS,VICTIMS|PER DAY,VÍCTIMAS
PER DAY,VICTIMS|PER DAY,AL DÍA
Enforce law and order,"Enforce law and order – If present, -1 unrest at upkeep",Hace cumplir la ley y el orden
"– If present,","Enforce law and order – If present, -1 unrest at upkeep","- Si presente,"
unrest at upkeep,"Enforce law and order – If present, -1 unrest at upkeep",malestar durante mantenimiento
POWERS,POWERS|KNOWN,PODERES
KNOWN,POWERS|KNOWN,CONOCIDOS
MAX HIT DICE,TO REBUKE CREATURE |MAX HIT DICE,DADOS DE GOLPE MAX.
Level,Level 8,Nivel
TRAP,TRAP SENSE,TRAMPA
DEFLECTION,DEFLECTION|BONUS,BON
BONUS,DEFLECTION|BONUS,DESVÍO
GREATER,GREATER RAGE!,FURIA
RAGE!,GREATER RAGE!,MAYOR!
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",DES
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",bonus a
AC,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",CA
STR,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",FUE
Strength rating,Strength rating    (composite bow),Valor de Fuerza
(composite bow),Strength rating    (composite bow),(Arco compuesto)
PER DAY,INVENTION USES |PER DAY,AL DÍA
1 ki point / min,Impose a truce between fighting parties - 1 ki point / min,1 punto ki/minuto
INSPIRE HEROICS,INSPIRE HEROICS  MAX AFFECTED,INSPIRAR HEROÍSMO
MAX AFFECTED,INSPIRE HEROICS  MAX AFFECTED,MAX AFECTADOS
Strength Score|Penalty:,Strength Score|Penalty: -2,Penal. Punt.|Fuerza
Bonus to,Bonus to CMB and CMD for your|chosen combat manoeuvres,Bonus a
CMB,Bonus to CMB and CMD for your|chosen combat manoeuvres,BMC
and,Bonus to CMB and CMD for your|chosen combat manoeuvres,y
CMD,Bonus to CMB and CMD for your|chosen combat manoeuvres,BMC
EVIL DAMAGE,EVIL DAMAGE|BONUS,BONUS DAÑO
BONUS,EVIL DAMAGE|BONUS,MALIGNO
Damage resistance,Damage resistance  10 / psionic,Reducción de daño
10 / psionic,Damage resistance  10 / psionic,10 / psiónico
1d6,Drunken Strength 1d6,1d6
2 × (d10 +,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",2 x (d10 +
CON,"2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",CON
") temporary hit points,|+2 attack, +1 fortitude save","2 × (d10 + CON) temporary hit points,|+2 attack, +1 fortitude save",") puntos golpe temporales, |+2 ataque, +1 pruebas Fortaleza"
1 ki point,Increase bonus to +4 - 1 ki point,1 punto ki
CON,+ CON| per level,CON
per level,+ CON| per level,por nivel
BONUS,BONUS|SPELLS,BONUS
"loyalty,","+4 loyalty, +8bp consumption","lealtad,"
+8bp,"+4 loyalty, +8bp consumption",+8bp
consumption,"+4 loyalty, +8bp consumption",consumo
"On a hit, Fort (DC 10 + ½ level +","On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round","Si golpeado, Fort (CD 10 + ½ Nivel +"
WIS,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",SAB
) or stunned for 1 round,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",) o aturdido durante 1 asalto
WILL,WILL SAVE,SALVACIÓN
SAVE,WILL SAVE,VOL
AC,Bonus to attack rolls and dodge bonus to AC|when adjacent to two or more enemies,CA
BONUS,CROWD BONUS,BONUS
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,ARMADURA|CLASE
PENALTY,ARMOUR|CLASS|PENALTY,PENALIZACIÓN
FEAT SHARING,FEAT SHARING|DURATION,COMPARTIR DOTES
DURATION,FEAT SHARING|DURATION,DURACIÓN
CHANNEL,CHANNEL|RANGE,RANGO
RANGE,CHANNEL|RANGE,CANALIZAR
ft,15 ft  3 sq,ft
sq,15 ft  3 sq,c
Duck and Cover,Duck and Cover    Take ally’s result on reflex save,A cubierto
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,Usa el resultado de la Salv. Ref. del aliado
Commands the army,"Commands the army – If vacant, -4 loyalty",Manda sobre el ejército
"– If vacant,","Commands the army – If vacant, -4 loyalty","- Si vacante,"
loyalty,"Commands the army – If vacant, -4 loyalty",lealtad
FEAT SHARING,FEAT SHARING|PER DAY,COMPARTIR DOTES
PER DAY,FEAT SHARING|PER DAY,AL DÍA
Natural Swimmer,Natural Swimmer|Swim at half land speed,Nadador Natural
Swim at half land speed,Natural Swimmer|Swim at half land speed,Nada la mitad de la velocidad terrestre
to jump checks -,+20 to jump checks - 1 ki point,a pruebas de salto -
1 ki point,+20 to jump checks - 1 ki point,1 punto de ki
Damage Reduction 5/,Damage Reduction 5/―,Reducción de Daño 5/
BONUS,SAILOR’S BONUS,BONUS
Charge,Charge    -2 to AC for the rest of the round,Cargar
to,Charge    -2 to AC for the rest of the round,a
AC,Charge    -2 to AC for the rest of the round,CA
for the rest of the round,Charge    -2 to AC for the rest of the round,por el resto del turno
Gain a bonus to saving throws -,Gain a bonus to saving throws - 1 ki point,Gana un bonus a pruebas de Salv -
1 ki point,Gain a bonus to saving throws - 1 ki point,1 punto ki
stability,-1 stability,Estabilidad
BONUS,INSIGHT BONUS,BONUS
CMB,"This bonus can be applied to each manoeuvre only twice, once|to CMB and once to CMD.",BMC
CMD,"This bonus can be applied to each manoeuvre only twice, once|to CMB and once to CMD.",BMC
AC,"Mounted Shield    Add your shield bonus to mount’s AC, and to Mounted Combat",CA
Outflank,Outflank    When flanking,Rebasar
When flanking,Outflank    When flanking,Cuando flanquea
Extend Spell,Extend Spell  +1,Prolongar conjuro
TOTAL HIT DICE,MAX CONTROL UNDEAD|TOTAL HIT DICE,DADOS DE GOLPE TOTALES
Cost:,Cost: 1 pt,Coste:
1 pt,Cost: 1 pt,1 pt
Swap Places,Swap Places    Switch places with an ally,Cambiar sitios
Switch places with an ally,Swap Places    Switch places with an ally,Cambia sitio con un aliado
RAGE!,RAGE! DURATION,FURIA!
DURATION,RAGE! DURATION,DURACION
Slow Fall,Slow Fall 60 ft,Caída lentificada
60 ft,Slow Fall 60 ft,60 ft
WIS,(WIS minimum 1),SAB
minimum 1),(WIS minimum 1),mínimo 1)
CHA,Power Save DC = 10 + CHA + Power Level,CHA
Clustered shots,Clustered shots    Group arrows to overcome damage reduction,Disparo concentrado
Group arrows to overcome damage reduction,Clustered shots    Group arrows to overcome damage reduction,Agrupas ataques para sobreponer la RD
DC,DC 15,CD
HEALING,HEALING|PER DAY,CURACIÓN
PER DAY,HEALING|PER DAY,AL DÍA
BONUS,SPEED BONUS,BONUS
Gain 1hp on a successful melee attack|Gain,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,Gana 1pg con golpe melee exitoso|Gana
WIS,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,SAB
hp on a confirmed critical attack,Gain 1hp on a successful melee attack|Gain WIS hp on a confirmed critical attack,pg en crítico confirmado
AC,"+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception",CA
and,"+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception",y
CMD,"+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception",BMC
BONUS,DECEPTION|BONUS,BONUS
Make unarmed strikes with any free limb|Flurry of blows uses full,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",Golpea sin armas con cualquier miembro libre|Ráfaga de golpes usa todo
STR,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",FUE
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand","bonus, incluso con mano torpe"
RAGE,"Each alcoholic drink consumed results in|1 round of nausea after the end of your RAGE,|in addition to the normal fatigue.",FURIA
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,BONO DE|MANIOBRA DE
BONUS,COMBAT|MANOEUVRE|BONUS,COMBATE
Bonus to,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,Bonus a
CMB,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,BMC
and,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,y
CMD,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,BMC
AC,Bonus to CMB and CMD for overrun manoeuvres;|reflex saves against trample attacks;|AC against charge attacks;|attack and damage against charging creatures,CA
Shake It Off,Shake It Off    +1 to all saving throws per adjacent ally,Sacudirse
to all saving throws per adjacent ally,Shake It Off    +1 to all saving throws per adjacent ally,a todos los tiros Salv. Por aliado adyacente
Manyshot,"Manyshot    When making a full-round attack, your first attack has two arrows",Disparos múltiples
"When making a full-round attack, your first attack has two arrows","Manyshot    When making a full-round attack, your first attack has two arrows","Cuando hace un ataque de asalto completo, tu primer ataque lanza 2 flechas"
(which grants,(which grants +8 to Acrobatics),(concede
to Acrobatics),(which grants +8 to Acrobatics),a Acrobacias)
MIGHTY,MIGHTY RAGE!,¡FURIA
RAGE!,MIGHTY RAGE!,PODEROSA!
Grant bonus to an ally -,Grant bonus to an ally - 1 ki point,Conceder bonus a un aliado -
1 ki point,Grant bonus to an ally - 1 ki point,1 punto ki
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,BON MANIOBRA
BONUS,COMBAT MANOEUVRE|BONUS,DE COMBATE
BONUS,BONUS|DURATION,BONUS
DURATION,BONUS|DURATION,DURACIÓN
HIT POINTS,BASIC HEALING|HIT POINTS,PUNTOS GOLPE
1 ki point,"As a swift action, deal damage equal to your Unarmed Strike when using an improvised weapon|Damage bonus lasts for one round - 1 ki point",1 punto ki
"stability,","+3 stability, +4bp consumption","Estabilidad,"
+4bp,"+3 stability, +4bp consumption",+4bp
consumption,"+3 stability, +4bp consumption",consumo
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Sin acciones este asalto|Pierde
DEX,No action this round|Lose DEX bonus to AC; -2 AC,bonus DES
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,a
bonus to AC; -2,No action this round|Lose DEX bonus to AC; -2 AC,bonus a CA; -2
AC,No action this round|Lose DEX bonus to AC; -2 AC,CA
PER DAY,DEVOTED STRIKES|PER DAY,AL DÍA
TODAY,TOUCH OF|SERENITY|TODAY,HOY
Fast Movement,Fast Movement +20 ft,Movimiento Rápido
+20 ft,Fast Movement +20 ft,+20 ft
Improved Devastating Strike,Improved Devastating Strike  +2 per die,Golpe Devastador Mejorado
per die,Improved Devastating Strike  +2 per die,por dado
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,CONOCIMIENTO DE BARDO
BONUS,BARDIC KNOWLEDGE |BONUS,BONIF.
Coordinated Defence,Coordinated Defence    +2 to CMD,Defensa Coordinada
to,Coordinated Defence    +2 to CMD,a
CMD,Coordinated Defence    +2 to CMD,DMC
RESOLVE,RESOLVE|USES PER DAY,Resolución
AC,+2 shield bonus to AC and CMD while stationary,CA
and,+2 shield bonus to AC and CMD while stationary,y
CMD,+2 shield bonus to AC and CMD while stationary,BMC
Chaotic:,Chaotic: +2 Loyalty,Caótico:
Loyalty,Chaotic: +2 Loyalty,Lealtad
TEAMWORK,TEAMWORK|FEATS,DOTES TRABAJO
FEATS,TEAMWORK|FEATS,EN EQUIPO
WITHDRAW,"WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check",RETIRAR
"Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check","WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check","Gana 2000po por bp. Incrementa malestar en 1, y haz prueba de Lealtad"
Critical Mastery,Critical Mastery    Apply two critical effects at once,Maestría con los críticos
Apply two critical effects at once,Critical Mastery    Apply two critical effects at once,Aplica dos efectos críticos a la vez
CMB,Treated as one size larger when determining CMB and |CMD for grappling or being grappled.,BMC
and,Treated as one size larger when determining CMB and |CMD for grappling or being grappled.,y
CMD,Treated as one size larger when determining CMB and |CMD for grappling or being grappled.,BMC
BONUS,NAKED COURAGE|BONUS,BONUS
Improved Cleaving Finish,Improved Cleaving Finish    Any number per round,Hendedura final Mejorada
Any number per round,Improved Cleaving Finish    Any number per round,Cualquier número por asalto
WEAPON,WEAPON BONUSES,BONUS
BONUSES,WEAPON BONUSES,ARMA
HEALING,HEALING|HIT POINTS,CURACIÓN
HIT POINTS,HEALING|HIT POINTS,PUNTOS GOLPE
Sneak Attack,Sneak Attack +1d6,Ataque Furtivo
+ 4 to all saving throws|+ 4 dodge bonus to,+ 4 to all saving throws|+ 4 dodge bonus to AC,+4 a todas las pruebas salvación|+4 bonus esquiva a
AC,+ 4 to all saving throws|+ 4 dodge bonus to AC,CA
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,REDUCCIÓN|PENALIZACIÓN
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,USO ARMADURA
Morale Bonus,Morale Bonus    Inspire Courage and similar,Bonus Moral
Inspire Courage and similar,Morale Bonus    Inspire Courage and similar,Infundir Valor y similar
Damage,Damage +1d6,Daño
+1d6,Damage +1d6,+1d6
Mighty,Mighty BLOODRAGE!,Poderosa
BLOODRAGE!,Mighty BLOODRAGE!,¡Furia de sangre!
DISCERN LIES,DISCERN LIES|PER DAY,DISCERNIR MENTIRAS
PER DAY,DISCERN LIES|PER DAY,AL DÍA
Grants,Grants +20 to Acrobatics,Concede
to Acrobatics,Grants +20 to Acrobatics,a Acrobacias
TERRAIN,"TERRAIN    Build farms, roads, mines etc",TERRENO
"Build farms, roads, mines etc","TERRAIN    Build farms, roads, mines etc","Construye granjas, caminos, minas, etc"
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,BON DAÑO
BONUS,SNEAK DAMAGE|BONUS,FURTIVO
RAGE!,RAGE!|Modifier,Modificador de
Modifier,RAGE!|Modifier,FURIA!
2 ki points,Ally may re-roll attack or save - 2 ki points,2 puntos ki
DC,DC +1,CD
HEALING POINTS,HEALING POINTS|PER DAY,PUNTOS DE CURACION
PER DAY,HEALING POINTS|PER DAY,POR DIA
(which grants,(which grants +12 to Acrobatics),(que concede
to Acrobatics),(which grants +12 to Acrobatics),a Acrobacias)
RAGE!,RAGE!|PER DAY,FURIA!
PER DAY,RAGE!|PER DAY,POR DIA
1 ki point,Double damage reduction - 1 ki point,1 punto ki
MAX HIT DICE,TO TURN CREATURE  MAX HIT DICE,DADOS DE GOLPE MAX.
TOTAL HIT DICE,CREATURES AFFECTED TOTAL HIT DICE,DADOS DE GOLPE TOTALES
Damage Reduction 2/,Damage Reduction 2/―,Reducción de Daño 2/
2d6,Drunken Strength 2d6,2d6
Maximum,Maximum +5,Máximo
Charge,Charge  -2 to AC for the rest of the round,Carga
to,Charge  -2 to AC for the rest of the round,a
AC,Charge  -2 to AC for the rest of the round,CA
for the rest of the round,Charge  -2 to AC for the rest of the round,para el resto del turno
DAMAGE,DAMAGE|BONUS,BON
BONUS,DAMAGE|BONUS,DAÑO
TRICKS,TRICKS|KNOWN,TRUCOS
KNOWN,TRICKS|KNOWN,CONOCIDOS
SPECIALITY,SPECIALITY SCHOOL,ESCUELAS
SCHOOL,SPECIALITY SCHOOL,ESPECIALIDAD
WILL|SAVE,WILL|SAVE|BONUS,BON
BONUS,WILL|SAVE|BONUS,SALV|VOL
Quick Draw,Quick Draw    Draw your weapon as a free action,Desenvainado Rápido
Draw your weapon as a free action,Quick Draw    Draw your weapon as a free action,Desenvaina tu arma como acción gratuita
2 ki points,"As a swift action once a day, create a 20ft-radius aura of|luck allowing yourself and all allies to take the better of two|rolls for attacks and saving throws.|Aura lasts 1 round for every 2 ki points spent",2 puntos ki
2 ki points,Heal somebody else’s wounds - 2 ki points,2 puntos ki
"If this attack of opportunity hits, gain a +2 circumstance |bonus to your","If this attack of opportunity hits, gain a +2 circumstance |bonus to your CMD to avoid the grapple.","Si este ataque de oportunidad da, gana un bonus de circuntancia|de+2 a tu"
CMD,"If this attack of opportunity hits, gain a +2 circumstance |bonus to your CMD to avoid the grapple.",BMC
CONCENTRATION,CONCENTRATION|BONUS,CONCENTRACIÓN
BONUS,CONCENTRATION|BONUS,BONUS
TAKE 20,TAKE 20 PER DAY,ELEGIR 20
PER DAY,TAKE 20 PER DAY,AL DÍA
Lose,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",Pierde
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",bon de
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",DES a
AC,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",CA
-4 on,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",-4 a
STR,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",FUE
and,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",y
"skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed","Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed","habilidad, Percepción opuesta|50% probabilidad de fallar al atacar|CD 10 de Acrobacias para moverse más de la mitad de velocidad normal"
RAGE,RAGE|Duration,FURIA
Duration,RAGE|Duration,Duración
FLAT-FOOTED,FLAT-FOOTED|CMD,DMC
CMD,FLAT-FOOTED|CMD,DESPREVENIDO
Favoured Terrain,Favoured Terrain|Bonus in a given terrain,Terreno predilecto
Bonus in a given terrain,Favoured Terrain|Bonus in a given terrain,Bonus en un terreno determinado
DEPOSIT,DEPOSIT    4000gp in trade goods and treasure nets 1bp,DEPÓSITO
