Original,Part of,Translation
ILLUSION,ILLUSION|WILL SAVE DC,ILLUSION
WILL SAVE DC,ILLUSION|WILL SAVE DC,WILL SAVE DC
FRIGHTENED,FRIGHTENED|DURATION,FRIGHTENED
DURATION,FRIGHTENED|DURATION,DURATION
Targeting,"Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall",Targeting
"As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall","Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall","As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall"
INITIATOR,INITIATOR LEVEL,INITIATOR
LEVEL,INITIATOR LEVEL,LEVEL
d6 +,d6 + (,d6 +
Craft -,Craft - INT|Perform - CHA,Craft -
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Perform -
CHA,Craft - INT|Perform - CHA,CHA
The damage type for a thrown |mind blade is,The damage type for a thrown |mind blade is Slashing unless altered.,The damage type for a thrown |mind blade is
Slashing,The damage type for a thrown |mind blade is Slashing unless altered.,Slashing
unless altered.,The damage type for a thrown |mind blade is Slashing unless altered.,unless altered.
Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast,Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast Raise Dead with a caster level |equal to your Monk level.,Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast
Raise Dead,Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast Raise Dead with a caster level |equal to your Monk level.,Raise Dead
with a caster level |equal to your Monk level.,Spend an hour and sacrifice your entire ki pool (which must |be at least 6 ki points) to cast Raise Dead with a caster level |equal to your Monk level.,with a caster level |equal to your Monk level.
MORALE,MORALE|BONUS,MORALE
BONUS,MORALE|BONUS,BONUS
Spirit Sense,"Spirit Sense|Detect undead, fey, outsiders and astral,|ethereal and incorporeal creatures",Spirit Sense
"Detect undead, fey, outsiders and astral,|ethereal and incorporeal creatures","Spirit Sense|Detect undead, fey, outsiders and astral,|ethereal and incorporeal creatures","Detect undead, fey, outsiders and astral,|ethereal and incorporeal creatures"
DARING,DARING BONUS,DARING
BONUS,DARING BONUS,BONUS
SCABROUS TOUCH,SCABROUS TOUCH PER DAY,SCABROUS TOUCH
PER DAY,SCABROUS TOUCH PER DAY,PER DAY
Dodge bonus to,"Dodge bonus to AC, and morale bonus|to saving throws against fear",Dodge bonus to
AC,"Dodge bonus to AC, and morale bonus|to saving throws against fear",AC
", and morale bonus|to saving throws against fear","Dodge bonus to AC, and morale bonus|to saving throws against fear",", and morale bonus|to saving throws against fear"
DAMAGE,DAMAGE|PENALTY,DAMAGE
PENALTY,DAMAGE|PENALTY,PENALTY
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,Acrobatics DC = 5 + Opponent’s
CMD,Acrobatics DC = 5 + Opponent’s CMD,CMD
burn,5% × burn,burn
Neutral:,Neutral: +2 Stability,Neutral:
Stability,Neutral: +2 Stability,Stability
Level,400’+ 40’ × Level,Level
ARCANA,ARCANA|KNOWN,ARCANA
KNOWN,ARCANA|KNOWN,KNOWN
EXORCISM,EXORCISM |BONUS,EXORCISM
BONUS,EXORCISM |BONUS,BONUS
Evasive,Evasive    Gain Evasion and Uncanny Dodge,Evasive
Gain Evasion and Uncanny Dodge,Evasive    Gain Evasion and Uncanny Dodge,Gain Evasion and Uncanny Dodge
REROLL,REROLL|PER DAY,REROLL
PER DAY,REROLL|PER DAY,PER DAY
Pond Scum,Pond Scum|+4 to saves against disease and the abilities|of monstrous humanoids;|damage reduction against swarms,Pond Scum
+4 to saves against disease and the abilities|of monstrous humanoids;|damage reduction against swarms,Pond Scum|+4 to saves against disease and the abilities|of monstrous humanoids;|damage reduction against swarms,+4 to saves against disease and the abilities|of monstrous humanoids;|damage reduction against swarms
CASTER LEVEL,CASTER LEVEL|CHECK BONUS,CASTER LEVEL
CHECK BONUS,CASTER LEVEL|CHECK BONUS,CHECK BONUS
Power Save DC = 10 +,Power Save DC = 10 + WIS + Power Level,Power Save DC = 10 +
WIS,Power Save DC = 10 + WIS + Power Level,WIS
+ Power Level,Power Save DC = 10 + WIS + Power Level,+ Power Level
Grant bonus to an ally -,Grant bonus to an ally - 1 ki point,Grant bonus to an ally -
1 ki point,Grant bonus to an ally - 1 ki point,1 ki point
SOULMELD SHAPES,SOULMELD SHAPES|PER DAY,SOULMELD SHAPES
PER DAY,SOULMELD SHAPES|PER DAY,PER DAY
MELEE ATTACK,MELEE ATTACK|BONUS,MELEE ATTACK
BONUS,MELEE ATTACK|BONUS,BONUS
Reflect a spell onto the caster -,Reflect a spell onto the caster - half spell level,Reflect a spell onto the caster -
half spell level,Reflect a spell onto the caster - half spell level,half spell level
RAGE,RAGE|TODAY,RAGE
TODAY,RAGE|TODAY,TODAY
Lookout,Lookout    Act in surprise round if ally can act,Lookout
Act in surprise round if ally can act,Lookout    Act in surprise round if ally can act,Act in surprise round if ally can act
When you take damage of at least your level while,"When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",When you take damage of at least your level while
RAGING,"When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",RAGING
", add to the number of rounds of","When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",", add to the number of rounds of"
RAGE,"When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",RAGE
today,"When you take damage of at least your level while|RAGING, add to the number of rounds of RAGE today",today
SENSE ELEMENTS,SENSE ELEMENTS|PER DAY,SENSE ELEMENTS
PER DAY,SENSE ELEMENTS|PER DAY,PER DAY
Telepath,Telepath (telepathy),Telepath
(telepathy),Telepath (telepathy),(telepathy)
imperial,imperial|man-at-arms,imperial
man-at-arms,imperial|man-at-arms,man-at-arms
Grant bonus to allies in 30ft -,Grant bonus to allies in 30ft - 1 ki point,Grant bonus to allies in 30ft. -
1 ki point,Grant bonus to allies in 30ft - 1 ki point,1 ki point
Dead Shot,"Dead Shot    Roll all attacks, additional hits add dice",Dead Shot
"Roll all attacks, additional hits add dice","Dead Shot    Roll all attacks, additional hits add dice","Roll all attacks, additional hits add dice"
Melee Damage,Melee Damage +2,Melee Damage
Natural armour bonus to,Natural armour bonus to AC|(does not stack with natural armour),Natural armor bonus to
AC,Natural armour bonus to AC|(does not stack with natural armour),AC
(does not stack with natural armour),Natural armour bonus to AC|(does not stack with natural armour),(does not stack with natural armor)
Knowledge Pool,Knowledge Pool|Prepare any Magus spell as if known,Knowledge Pool
Prepare any Magus spell as if known,Knowledge Pool|Prepare any Magus spell as if known,Prepare any Magus spell as if known
TRUE,TRUE HEALER,TRUE
HEALER,TRUE HEALER,HEALER
RAGE!,RAGE!  DURATION|PER DAY,RAGE!
DURATION,RAGE!  DURATION|PER DAY,DURATION
PER DAY,RAGE!  DURATION|PER DAY,PER DAY
Great Cleave,Great Cleave    Any number of extra attacks per round,Great Cleave
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Any number of extra attacks per round
Shot on the Run,Shot on the Run    Attack at any point during your move,Shot on the Run
Attack at any point during your move,Shot on the Run    Attack at any point during your move,Attack at any point during your move
Guides higher learning and magic,"Guides higher learning and magic – If vacant, -4 economy",Guides higher learning and magic
"– If vacant,","Guides higher learning and magic – If vacant, -4 economy","– If vacant,"
economy,"Guides higher learning and magic – If vacant, -4 economy",economy
Weapon trick,Weapon trick|+1 bonus on attack rolls,Weapon trick
+1 bonus on attack rolls,Weapon trick|+1 bonus on attack rolls,+1 bonus on attack rolls
Weapon Finesse,Weapon Finesse    Use DEX for melee attack,Weapon Finesse
Use,Weapon Finesse    Use DEX for melee attack,Use
DEX,Weapon Finesse    Use DEX for melee attack,DEX
for melee attack,Weapon Finesse    Use DEX for melee attack,for melee attack
Strength rating,Strength rating    (composite bow),Strength rating
(composite bow),Strength rating    (composite bow),(composite bow)
Broken Wing Gambit,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",Broken Wing Gambit
Grant,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",Grant
", get attack of opportunity","Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",", get attack of opportunity"
ARCANE,ARCANE|POOL,ARCANE
POOL,ARCANE|POOL,POOL
SAVING THROW,SAVING THROW|PENALTY,SAVING THROW
PENALTY,SAVING THROW|PENALTY,PENALTY
Roam,"Roam  DC 15|The bird roams and forages on its own, and returns at a set time.",Roam
"DC 15|The bird roams and forages on its own, and returns at a set time.","Roam  DC 15|The bird roams and forages on its own, and returns at a set time.","DC 15|The bird roams and forages on its own, and returns at a set time."
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Nature Sense
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 to Knowledge (Nature) and Survival
"economy,","+4 economy, -8 loyalty","economy,"
loyalty,"+4 economy, -8 loyalty",loyalty
Instant mastery,Instant mastery|4 ranks of a skill in which the character has no ranks:,Instant mastery
4 ranks of a skill in which the character has no ranks:,Instant mastery|4 ranks of a skill in which the character has no ranks:,4 ranks of a skill in which the character has no ranks:
Shaper,Shaper (metacreativity),Shaper
(metacreativity),Shaper (metacreativity),(metacreativity)
INSPIRING BLOW,INSPIRING BLOW|TEMPORARY HP,INSPIRING BLOW
TEMPORARY HP,INSPIRING BLOW|TEMPORARY HP,TEMPORARY HP
POINT COST,POINT COSTADJUSTMENT,POINT COST
ADJUSTMENT,POINT COSTADJUSTMENT,ADJUSTMENT
MAX POWER,MAX POWER|LEVEL,MAX POWER
LEVEL,MAX POWER|LEVEL,LEVEL
SIXTH,SIXTH|SENSE,SIXTH
SENSE,SIXTH|SENSE,SENSE
Negate a polymorph attempt by touch -,Negate a polymorph attempt by touch - 2 ki points,Negate a polymorph attempt by touch -
2 ki points,Negate a polymorph attempt by touch - 2 ki points,2 ki points
Mighty,Mighty RAGE!,Mighty
RAGE!,Mighty RAGE!,RAGE!
Way of the Bow,Way of the Bow 2,Way of the Bow
DAMAGE,DAMAGE|BONUS,DAMAGE
BONUS,DAMAGE|BONUS,BONUS
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Treated as an Outsider
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic
Tireless,Tireless BLOODRAGE!,Tireless
BLOODRAGE!,Tireless BLOODRAGE!,BLOODRAGE!
protectorate,protectorate|artillerist,protectorate
artillerist,protectorate|artillerist,artillerist
The damage type for a mind blade |is,The damage type for a mind blade |is Slashing unless altered.,The damage type for a mind blade |is
Slashing,The damage type for a mind blade |is Slashing unless altered.,Slashing
unless altered.,The damage type for a mind blade |is Slashing unless altered.,unless altered.
Many Lives,Many Lives|Reincarnate if killed,Many Lives
Reincarnate if killed,Many Lives|Reincarnate if killed,Reincarnate if killed
TEMP DAMAGE,TEMP DAMAGE|BONUS,TEMP DAMAGE
BONUS,TEMP DAMAGE|BONUS,BONUS
SPELL LEVEL,SPELL LEVEL|EQUIVALENT,SPELL LEVEL
EQUIVALENT,SPELL LEVEL|EQUIVALENT,EQUIVALENT
Shadow jump,Shadow jump 80ft,Shadow jump
80ft,Shadow jump 80ft,80ft
Shield Wall,Shield Wall    +1 / +2 to AC when both using shields,Shield Wall
to,Shield Wall    +1 / +2 to AC when both using shields,to
AC,Shield Wall    +1 / +2 to AC when both using shields,AC
when both using shields,Shield Wall    +1 / +2 to AC when both using shields,when both using shields
"If the item is magical, learn its properties and command|word as if successful at","If the item is magical, learn its properties and command|word as if successful at detect magic and Spellcraft.|This may not reveal a cursed item’s properties.","If the item is magical, learn its properties and command|word as if successful at"
detect magic,"If the item is magical, learn its properties and command|word as if successful at detect magic and Spellcraft.|This may not reveal a cursed item’s properties.",detect magic
and Spellcraft.|This may not reveal a cursed item’s properties.,"If the item is magical, learn its properties and command|word as if successful at detect magic and Spellcraft.|This may not reveal a cursed item’s properties.",and Spellcraft.|This may not reveal a cursed item’s properties.
+ 4 to all saving throws|+ 4 dodge bonus to,+ 4 to all saving throws|+ 4 dodge bonus to AC,+ 4 to all saving throws|+ 4 dodge bonus to
AC,+ 4 to all saving throws|+ 4 dodge bonus to AC,AC
Ride-By Attack,"Ride-By Attack    Continue moving after a charge, up to double your move speed",Ride-By Attack
"Continue moving after a charge, up to double your move speed","Ride-By Attack    Continue moving after a charge, up to double your move speed","Continue moving after a charge, up to double your move speed"
shield bonus to,+2 shield bonus to AC and CMD while stationary,shield bonus to
AC,+2 shield bonus to AC and CMD while stationary,AC
and,+2 shield bonus to AC and CMD while stationary,and
CMD,+2 shield bonus to AC and CMD while stationary,CMD
while stationary,+2 shield bonus to AC and CMD while stationary,while stationary
DAMAGE,DAMAGE|REDUCTION,DAMAGE
REDUCTION,DAMAGE|REDUCTION,REDUCTION
MISLEAD: GREATER|INVISIBILITY,MISLEAD: GREATER|INVISIBILITY|DURATION,MISLEAD: GREATER|INVISIBILITY
DURATION,MISLEAD: GREATER|INVISIBILITY|DURATION,DURATION
EXTRA,EXTRA DAMAGE,EXTRA
DAMAGE,EXTRA DAMAGE,DAMAGE
FASCINATE,FASCINATE|MAX AUDIENCE,FASCINATE
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,MAX AUDIENCE
Enforce law and order,"Enforce law and order – If present, -1 unrest at upkeep",Enforce law and order
"– If present,","Enforce law and order – If present, -1 unrest at upkeep","– If present,"
unrest at upkeep,"Enforce law and order – If present, -1 unrest at upkeep",unrest at upkeep
Spears:,"Spears: javelin, lance, pilum, shortspear, spear and trident",Spears:
"javelin, lance, pilum, shortspear, spear and trident","Spears: javelin, lance, pilum, shortspear, spear and trident","javelin, lance, pilum, shortspear, spear, and trident"
EXOTIC WEAPON ATTACK,EXOTIC WEAPON ATTACK BONUS,EXOTIC WEAPON ATTACK
BONUS,EXOTIC WEAPON ATTACK BONUS,BONUS
COMBAT / DC,COMBAT / DC|BONUS,COMBAT / DC
BONUS,COMBAT / DC|BONUS,BONUS
Swap,"Swap 3d6 of chastise damage, weaken for 1 round",Swap
3d6,"Swap 3d6 of chastise damage, weaken for 1 round",3d6
"of chastise damage, weaken for","Swap 3d6 of chastise damage, weaken for 1 round","of chastise damage, weaken for"
1 round,"Swap 3d6 of chastise damage, weaken for 1 round",1 round
RAGE!,RAGE! 1/day,RAGE!
1/day,RAGE! 1/day,1/day
Bring a target back to life -,Bring a target back to life - all your ki points,Bring a target back to life -
all your ki points,Bring a target back to life - all your ki points,all your ki points
Bleed damage equal to,"Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage",Bleed damage equal to
DEX,"Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage",DEX
"Alternatively, 1 pt Strength, Dexterity or Constitution damage","Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage","Alternatively, 1 pt Strength, Dexterity or Constitution damage"
Kineticist,Kineticist (psychokinesis),Kineticist
(psychokinesis),Kineticist (psychokinesis),(psychokinesis)
SAVING THROW,SAVING THROW|DC BONUS,SAVING THROW
DC BONUS,SAVING THROW|DC BONUS,DC BONUS
CUSTOMISATION,CUSTOMISATION|POINTS,CUSTOMIZATIONS
POINTS,CUSTOMISATION|POINTS,POINTS
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Improved Precise Shot
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Ignore the penalties for partial cover or partial concealment
Extreme Endurance,Extreme Endurance 4,Extreme Endurance
Wolfsbane,Wolfsbane|Damage reduction,Wolfsbane
Damage reduction,Wolfsbane|Damage reduction,Damage reduction
MANIFESTER LEVEL,MANIFESTER LEVEL|MAX BONUS,MANIFESTER LEVEL
MAX BONUS,MANIFESTER LEVEL|MAX BONUS,MAX BONUS
FOES,FOES|PER DAY,FOES
PER DAY,FOES|PER DAY,PER DAY
HEXBLADE’S|CURSE,HEXBLADE’S|CURSE|PENALTY,HEXBLADE’S|CURSE
PENALTY,HEXBLADE’S|CURSE|PENALTY,PENALTY
TERRAIN,"TERRAIN    Build farms, roads, mines etc",TERRAIN
"Build farms, roads, mines etc","TERRAIN    Build farms, roads, mines etc","Build farms, roads, mines, etc."
Physical Resistance,Physical Resistance -5,Physical Resistance
Weapon Focus,Weapon Focus   +1 to attack with selected weapon,Weapon Focus
+1 to attack with selected weapon,Weapon Focus   +1 to attack with selected weapon,+1 to attack with selected weapon
FEAT SHARING,FEAT SHARING|PER DAY,FEAT SHARING
PER DAY,FEAT SHARING|PER DAY,PER DAY
Improved evasion|Shadow jump,Improved evasion|Shadow jump 320ft|Shadow master,Improved evasion|Shadow jump
320ft,Improved evasion|Shadow jump 320ft|Shadow master,320ft.
Shadow master,Improved evasion|Shadow jump 320ft|Shadow master,Shadow master
Drunken Resilience,Drunken Resilience 3/―,Drunken Resilience
"stability,","+4 stability, +8bp consumption","stability,"
+8bp,"+4 stability, +8bp consumption",+8bp
consumption,"+4 stability, +8bp consumption",consumption
DAMAGE AREA,DAMAGE AREA|RADIUS,DAMAGE AREA
RADIUS,DAMAGE AREA|RADIUS,RADIUS
NEGATIVE LEVELS,NEGATIVE LEVELS|PER DAY,NEGATIVE LEVELS
PER DAY,NEGATIVE LEVELS|PER DAY,PER DAY
"On a hit, Fort (DC 10 + ½ level +","On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round","On a hit, Fort (DC 10 + ½ level +"
WIS,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",WIS
) or stunned for 1 round,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",) or stunned for 1 round
at levels,"at levels 3, 8, 13 and 18",at levels
and,"at levels 3, 8, 13 and 18",and
Seer,Seer (clairsentience),Seer
(clairsentience),Seer (clairsentience),(clairsentience)
Venom Immunity,Venom Immunity|Immune to all poisons,Venom Immunity
Immune to all poisons,Venom Immunity|Immune to all poisons,Immune to all poisons
ATTUNEMENTS,ATTUNEMENTS |PER DAY,ATTUNEMENTS
PER DAY,ATTUNEMENTS |PER DAY,PER DAY
spell save DC,+2 spell save DC  or  +2 to attack  or  +2 against target’s spell resistance,spell save DC
or,+2 spell save DC  or  +2 to attack  or  +2 against target’s spell resistance,or
to attack,+2 spell save DC  or  +2 to attack  or  +2 against target’s spell resistance,to attack
against target’s spell resistance,+2 spell save DC  or  +2 to attack  or  +2 against target’s spell resistance,against target’s spell resistance
BUILDINGS,BUILDINGS    Add buildings to towns,BUILDINGS
Add buildings to towns,BUILDINGS    Add buildings to towns,Add buildings to towns
Swamp Strider,Swamp Strider|No movement penalty in bogs or undergrowth,Swamp Strider
No movement penalty in bogs or undergrowth,Swamp Strider|No movement penalty in bogs or undergrowth,No movement penalty in bogs or undergrowth
TRAPS,TRAPS|PER DAY,TRAPS
PER DAY,TRAPS|PER DAY,PER DAY
TAKE 20,TAKE 20|PER DAY,TAKE 20
PER DAY,TAKE 20|PER DAY,PER DAY
SHADOW TWIN,SHADOW TWIN|DURATION,SHADOW TWIN
DURATION,SHADOW TWIN|DURATION,DURATION
Damage Reduction 1/,Damage Reduction 1/―,Damage Reduction 1/
HEALING,HEALING|PER DAY,HEALING
PER DAY,HEALING|PER DAY,PER DAY
MAX CASTER,MAX CASTER|LEVEL,MAX CASTER
LEVEL,MAX CASTER|LEVEL,LEVEL
SPELL,SPELL RESISTANCE,SPELL
RESISTANCE,SPELL RESISTANCE,RESISTANCE
DISPEL,DISPEL BONUS,DISPEL
BONUS,DISPEL BONUS,BONUS
DISCERN LIES,DISCERN LIES|PER DAY,DISCERN LIES
PER DAY,DISCERN LIES|PER DAY,PER DAY
TOUCH OF|SERENITY,TOUCH OF|SERENITY|PER DAY,TOUCH OF|SERENITY
PER DAY,TOUCH OF|SERENITY|PER DAY,PER DAY
FORTITUDE,FORTITUDE|SAVE DC,FORTITUDE
FORTITUDE|SAVE,FORTITUDE|SAVE DC,FORTITUDE|SAVE
SAVE DC,FORTITUDE|SAVE DC,SAVE DC
DC,FORTITUDE|SAVE DC,DC
Cavesense,Cavesense|+2 to Knowledge (dungeoneering) and Survival,Cavesense
+2 to Knowledge (dungeoneering) and Survival,Cavesense|+2 to Knowledge (dungeoneering) and Survival,+2 to Knowledge (dungeoneering) and Survival
PERCEPTION,PERCEPTION|BONUS,PERCEPTION
BONUS,PERCEPTION|BONUS,BONUS
Deadeye,Deadeye    Use touch AC beyond first range increment,Deadeye
Use touch AC beyond first range increment,Deadeye    Use touch AC beyond first range increment,Use touch AC beyond first range increment
Gunslinger Initiative,"Gunslinger Initiative    +2 Initiative; (with Quick Draw, draw firearm as part of initiative)",Gunslinger Initiative
"+2 Initiative; (with Quick Draw, draw firearm as part of initiative)","Gunslinger Initiative    +2 Initiative; (with Quick Draw, draw firearm as part of initiative)","+2 Initiative; (with Quick Draw, draw firearm as part of initiative)"
BASE|ATTACK,BASE|ATTACK BONUS,BASE|ATTACK
BONUS,BASE|ATTACK BONUS,BONUS
Sneak Attack,Sneak Attack +1d6,Sneak Attack
+1d6,Sneak Attack +1d6,+1d6
SLEIGHT OF|HAND,SLEIGHT OF|HAND|BONUS,SLEIGHT OF|HAND
BONUS,SLEIGHT OF|HAND|BONUS,BONUS
WU JEN SPELLS,WU JEN SPELLS|KNOWN,WU JEN SPELLS
KNOWN,WU JEN SPELLS|KNOWN,KNOWN
Point Blank Shot,Point Blank Shot    +1 to attack and damage within first range increment,Point Blank Shot
+1 to attack and damage within first range increment,Point Blank Shot    +1 to attack and damage within first range increment,+1 to attack and damage within first range increment
BANE,BANE|PER DAY,BANE
PER DAY,BANE|PER DAY,PER DAY
"Recover from being fatigued, shaken or sickened","Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered","Recover from being fatigued, shaken, or sickened"
Level 8:,"Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered",Level 8:
"recover from being exhausted, frightened, nauseated or staggered","Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered","Recover from being exhausted, frightened, nauseated, or staggered"
Desert Ensurance,"Desert Ensurance|Endure hot, reduced need to eat and drink",Desert Ensurance
"Endure hot, reduced need to eat and drink","Desert Ensurance|Endure hot, reduced need to eat and drink","Endure hot, reduced need to eat and drink"
Slow Fall,Slow Fall 20 ft,Slow Fall
20 ft,Slow Fall 20 ft,20 ft
MISFIRE,MISFIRE VALUE,MISFIRE
VALUE,MISFIRE VALUE,VALUE
ARCTIC,ARCTIC|BONUS,ARCTIC
BONUS,ARCTIC|BONUS,BONUS
FATIGUED,FATIGUED|DURATION,FATIGUED
DURATION,FATIGUED|DURATION,DURATION
TRAP,TRAP|SAVE DC,TRAP
SAVE DC,TRAP|SAVE DC,SAVE DC
CON,+ CON| per level,CON
per level,+ CON| per level,per level
Improved Back to Back,Improved Back to Back    +2 to ally’s AC,Improved Back to Back
to ally’s,Improved Back to Back    +2 to ally’s AC,to ally’s
AC,Improved Back to Back    +2 to ally’s AC,AC
Greater,Greater RAGE!,Greater
RAGE!,Greater RAGE!,RAGE!
Evil:,Evil: +2 Economy,Evil:
Economy,Evil: +2 Economy,Economy
PUNISHING KICK,PUNISHING KICK|TODAY,PUNISHING KICK
TODAY,PUNISHING KICK|TODAY,TODAY
Add,"Add WIS to CMB, once a round",Add
WIS,"Add WIS to CMB, once a round",WIS
to,"Add WIS to CMB, once a round",to
CMB,"Add WIS to CMB, once a round",CMB
", once a round","Add WIS to CMB, once a round",", once a round"
Greater,Greater BLOODRAGE!,Greater
BLOODRAGE!,Greater BLOODRAGE!,BLOODRAGE!
HEX,HEX|SAVE DC,HEX
SAVE DC,HEX|SAVE DC,SAVE DC
CHASTISE SPIRITS,CHASTISE SPIRITS|PER DAY,CHASTISE SPIRITS
PER DAY,CHASTISE SPIRITS|PER DAY,PER DAY
Egoist,Egoist (psychometabolism),Egoist
(psychometabolism),Egoist (psychometabolism),(psychometabolism)
+1 dodge bonus to touch,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",+1 dodge bonus to touch
AC,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",AC
and,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",and
CMD,"+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield",CMD
"when wearing|no or light armour, unencumbered and not using a shield","+1 dodge bonus to touch AC and CMD when wearing|no or light armour, unencumbered and not using a shield","when wearing|no or light armor, unencumbered and not using a shield"
POTENT,POTENT|FOR,POTENT
FOR,POTENT|FOR,FOR
ACADEMIC LORE,ACADEMIC LORE|BONUS,ACADEMIC LORE
BONUS,ACADEMIC LORE|BONUS,BONUS
Retry failed saves against entanglement -,Retry failed saves against entanglement - 1 ki point,Retry failed saves against entanglement -
1 ki point,Retry failed saves against entanglement - 1 ki point,1 ki point
DANCE,DANCE|BONUS,DANCE
BONUS,DANCE|BONUS,BONUS
Become incorporeal for,Become incorporeal for 1 min,Become incorporeal for
1 min,Become incorporeal for 1 min,1 min
(which grants,(which grants +16 to Acrobatics checks for jumping),(which grants
to Acrobatics checks for jumping),(which grants +16 to Acrobatics checks for jumping),to Acrobatics checks for jumping)
RESISTANCE,RESISTANCE|BONUS,RESISTANCE
BONUS,RESISTANCE|BONUS,BONUS
Slow Fall,Slow Fall 70 ft,Slow Fall
70 ft,Slow Fall 70 ft,70 ft
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,FLAT-FOOTED
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,ARMOR CLASS
Slow Fall,Slow Fall 40 ft,Slow Fall
40 ft,Slow Fall 40 ft,40 ft
RAGE!,RAGE! CONVERSION,RAGE
CONVERSION,RAGE! CONVERSION,CONVERSION
Ignore concealment -,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",Ignore concealment -
1 ki point,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",1 ki point
Ignore total concealment or cover -,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",Ignore total concealment or cover -
2 ki point,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",2 ki point
"Ignore total cover, fire around corners -","Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point","Ignore total cover, fire around corners -"
3 ki point,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",3 ki point
Secret health,"Secret health|+3 hp, +1 hp for every hit die beyond 3rd",Secret health
"+3 hp, +1 hp for every hit die beyond 3rd","Secret health|+3 hp, +1 hp for every hit die beyond 3rd","+3 hp, +1 hp for every hit die beyond 3rd"
Slow Fall,Slow Fall 30 ft,Slow Fall
30 ft,Slow Fall 30 ft,30 ft
Spirit form,Spirit form  1 /day,Spirit form
1 /day,Spirit form  1 /day,1 / day
"loyalty,","+2 loyalty, +2bp consumption","loyalty,"
+2bp,"+2 loyalty, +2bp consumption",+2bp
consumption,"+2 loyalty, +2bp consumption",consumption
