Original,Part of,Translation
Improved Cleaving Finish,Improved Cleaving Finish    Any number per round,精通終勢斬
Any number per round,Improved Cleaving Finish    Any number per round,每輪任意次數
FOES,FOES|PER DAY,每日
PER DAY,FOES|PER DAY,對象數
1d2,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d2
1d3,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d3
1d4,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d4
1d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d6
1d8,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1d8
2d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,2d6
3d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,3d6
4d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,4d6
6d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,6d6
8d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,8d6
12d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,12d6
WILD EMPATHY,WILD EMPATHY|BONUS,野性認同
BONUS,WILD EMPATHY|BONUS,加值
stability,-1 stability,穩定
Death’s Shot,"Death’s Shot    On a critical, Fort (DC 10 + ½ level + DEX) or die",死亡射擊
"On a critical, Fort (DC 10 + ½ level + DEX) or die","Death’s Shot    On a critical, Fort (DC 10 + ½ level + DEX) or die",造成重擊時，通過強韌(DC 10 + 敏 + ½ 等級)或死亡
Damage Reduction 2/,Damage Reduction 2/―,傷害減免2 / —
COMBAT MANOEUVRE,COMBAT MANOEUVRE|BONUS,戰技
BONUS,COMBAT MANOEUVRE|BONUS,加值
Forbidden|During,Forbidden|During|RAGE!,狂暴!
RAGE!,Forbidden|During|RAGE!,時禁用
Fast Movement,Fast Movement +50 ft,快速移動
+50 ft,Fast Movement +50 ft,+50 呎
CRITICAL,CRITICAL EFFECTS,重擊
EFFECTS,CRITICAL EFFECTS,效果
DEFLECTION,DEFLECTION|BONUS,偏斜
BONUS,DEFLECTION|BONUS,加值
FASCINATE,FASCINATE|MAX AUDIENCE,迷魂
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,最大觀眾數
Tireless,Tireless RAGE!,不倦
RAGE!,Tireless RAGE!,狂暴!
Debit,,借款
Profession (scribe),,專業(抄寫員)
STREETWISE,,市井之智
Cleric|Level,,牧師|等級
Druid Level,,德魯依等級
Gender,,性別
CHAOTIC,,混亂
Profession (herbalist),,專業(採藥人)
Ki Pool (lawful),,丹田氣池(守序)
INFUSION,,注能原力
MEDIUM RANGE,,中距
Perform (dance),,表演(舞蹈)
Spell resistance,,法術抗力
Craft (sculptures),,工藝(雕刻)
+10 to move at full speed,,檢定DC+10 以全速移動
Buffs,,強化效果
ROGUE TALENTS,,盜賊天賦
DR 5/— when wearing armour or using a shield,,穿戴盔甲或手持盾牌時獲得傷害減免5/—
Belts,,腰部
Craft (armour),,工藝(製甲)
Sundry,,雜項
WHOLENESS OF BODY,,混元體
Components,,成分
A successful strike with smite evil|bypasses damage reduction.,,制裁邪惡攻擊命中時|穿透傷害減免
Cash,,現金
Knowledge (dungeoneering),,知識(地城)
PATH ABILITIES,,道途能力
Improved Grapple,,精通擒抱
Subtype,,子類型
"Optionally, fix it with glue",,可以用膠水加固。
Unarmed Strike,,徒手打擊
Sickening Critical,,噁心重擊
Chest,,胸部
Temp|Score,,暫時|屬性
FAVOURED TERRAINS,,偏好地形
+1 caster level  on any Paladin spell,,所有聖騎士法術 CL +1
Base,,基本
BARBARIAN,,野蠻人
40ft,,40呎
1d6 +,,1d6 +
Credit,,貸款
Distance,,距離
30ft,,30呎
Bleeding Critical,,流血重擊
Bards can use all knowledge skills untrained,,吟遊詩人可以使用未受訓的知識技能
Ki Pool (magic),,丹田氣池(魔法)
Vigilante|Level,,俠客|等級
Racial,,種族
CLOSE RANGE,,近距
Allies within 10ft get +4 to saves against charm effects.,,10呎以內的盟友在對抗魅惑效果的豁免上獲得+4士氣加值
Non-Monk|Levels,,非武僧|等級
Feet,,腳部
"On critical hit, target is stunned (or staggered if they pass a Will save) for 1d4 rds.",,重擊時，目標會震懾(通過意志豁免則為恍惚)1d4輪
All skills are considered class skills,,所有技能都視為本職技能
Nerfs,,弱化效果
Allies within range are immune to bleed damage,,範圍內盟友免疫流血傷害
HOSTILE,,敵對
FAMILIAR,,魔寵
MOVE THROUGH ENEMY’S OWN SQUARE,,穿越敵人的佔據空間
1d10,,1d10
Defence,,防護
AURA OF COURAGE,,勇氣靈光
1d6,,1d6
Casting time,,施法時間
Damage Reduction,,傷害減免
Other skills:|Craft - INT|Perform - CHA,,其他技能:|工藝 - INT|表演 - CHA
LAWFUL,,守序
1 ki point,,1 點氣
BONDED OBJECT,,聯結物品
Improved Critical / Keen weapon / Keen magical effect,,精通重擊/銳鋒術/銳鋒附魔
Profession (merchant),,專業(商人)
Avoid all damage on successful reflex save,,通過反射豁免時迴避所有傷害
UTILITY,,通用原力
HIGH JUMP,,跳高
EVIL,,邪惡
CHARGES,,充能數
Organisation,,組織
Critical/sneak|miss chance,,重擊/偷襲|失手率
WIS - 4,,WIS - 4
+ Level,,+ 等級
CONSUMPTION,,消耗
+1 panache,,+1 點派頭
CHA - 8,,CHA - 8
Page,,page
sp,,sp
Craft (weapons),,工藝(鑄劍)
SPECIAL ABILITIES,,特殊能力
Knowledge (planes),,知識(位面)
Spell Level,,法術環數
Weapons considered Good aligned for overcoming DR.,,在克服傷害減免時，武器被視為善良陣營
Size|Modifier,,體型|調整值
Level|Bonus,,等級|加值
Fatigued|AC Penalty,,疲乏|AC減值
"Fold along the dotted lines, making sure|the                hatched areas are hidden or face down",,沿著虛線對折，|確保陰影區域超內或是朝下。
rds,,輪
"As a full-round action, take a single move action and make a single attack at your highest attack bonus|against each enemies you encounter during your movement, up to a maximum of 20 attacks.",,以一個整輪動作，做一個移動動作，並對移動路徑上任何一點的觸及內的每個目標|發起一次攻擊(最高攻擊加值)，最多20次
CR,,CR
Today,,今日
SAVING THROWS,,豁免
Flat-footed,,措手不及
Knowledge (engineering),,知識(工程)
ATTACK FEATS,,戰士獎勵專長
7ft,,7呎
"Treat hands, feet, knees and elbows as weapons",,武僧的攻擊可以用雙拳，也可以用肘、膝、或腳
Monk Level,,武僧等級
AURA,,靈光
Cost,,花費
"Handle Animal, Intimidate",,"馴養動物, 威嚇"
SKILL NOTES,,技能註記
+2 to attack roll (affects critical range),,投骰結果+2(重擊範圍有效)
Improved|Evasion,,精通|反射閃避
Master Strike,,大師之擊
Treat unarmed attacks as lawful weapons,,徒手攻擊被視為守序武器
DAMAGE REDUCTION,,傷害減免
Apply this bonus to all knowledge skills,,可把此加值加到所有知識技能
Deliver touch spells,,傳遞接觸法術
with Armour,,著甲
(Round up),,(向上取整)
INVENTORY,,道具欄
Fortitude,,強韌
"Begin or switch a bardic performance as a move action,|rather than as a standard action.",,用移動動作替代原本的標準動作|開始或切換一項吟遊表演
"Alertness, improved evasion",,"警覺, 精通反射閃避"
Immune to illusion spells and spell-like abilities.,,免疫幻覺法術和類法術能力
Neck / Throat,,頸部
Profession (brewer),,專業(釀酒人)
JACK OF ALL TRADES,,萬事通
Natural|Armour,,天生|護甲
Wizard|Level,,法師|等級
lb,,磅
Spell Save DC = 10 + WIS + Spell Level,,法術豁免DC = 10 + WIS + 法術環數
Unbalancing counter,,攬雀尾
Blinding Critical,,流血重擊
Locate Traps,,發現陷阱
Acrobatics skill +4,,特技 + 4
Critical,,重擊
(WIS minimum 1),,(WIS 最少為1)
Construct,,構裝
Speak with master,,與主人交談
DEFENCE & SAVING THROWS,,防護 & 豁免
Favoured|     Enemy|     Terrain,,偏好| 宿敵| 地形
"This does not apply if you were killed by a coup-de-grace|or critical hit by a mythic enemy, or an epic weapon.",,被神話生物、傳奇武器所進行的|致命一擊（coup de grace）或重擊殺死則無效
Creature|Level,,生物|等級
Investigator|Level,,調查員|等級
15ft,,15呎
Armour AC,,盔甲AC
Domain Spell,,領域法術
Bard|Level,,吟遊詩人|等級
Manifester|Level,,操念者|等級
Knowledge (arcana),,知識(奧秘)
Sleight of Hand,,巧手
Book,,book
"Diplomacy, Intimidate",,"交涉, 威嚇"
Exhausting Critical,,力竭重擊
20 Reflex save,,20反射豁免
Conjuration,,咒法系
Will,,意志
Rounds Today,,今日輪數
MONEY,,金錢
NPC,,NPC
1st round,,第1輪
SAVING|THROW,,|豁免檢定
Immune to compulsion effects including magic.,,免疫脅迫法術和類法術能力
"Counter exhaustion, fatigue, nausea and sickness.|Allies within 30ft use Performance roll in place of a saving throw",,反制力竭、疲乏、反胃或噁心，30呎之內的盟友|可以用吟遊詩人的表演檢定來代替自身的豁免檢定
ACROBATICS,,特技
Profession (stable master),,專業(馬廄主)
CHA - 12,,CHA - 12
Dying,,瀕死
Wild Empathy,,野性認同
Spellcraft,,法術辨識
Favoured| Enemy,,| 宿敵
+ 1d6,,+ 1d6
d6 / 2d6,,d6 / 2d6
EMPTY BODY,,空靈體
Athletics,,體能
EFFECTS,,效果
ARMOUR CLASS,,防禦等級
Spell|Save DC,,法術|豁免DC
HEALING|POINTS,,治療|點數
Times per day,,每日可用次數
"Once a day, cast any spell from your spellbook|(excluding opposed schools; cannot use metamagic)",,"每天一次，從你的法術書中選擇任意法術施放|(不能是對立學派,不能超魔)"
Profession (butcher),,專業(屠夫)
Knowledge (history),,知識(歷史)
CHANNEL POSITIVE ENERGY,,引導正能量
Mobility,,靈活移動
PF-RPG,,PF-RPG
"Acrobatics, Fly",,特技、飛行
Armour|Check|Penalty,,防具|檢定|減值
Trap|Sense,,陷阱|感知
50 coins weighs 1lb,,50枚錢幣重1磅
Tiring Critical,,疲倦重擊
MONK,,武僧
CHA - 4,,CHA - 4
Paladin|Level,,聖騎士|等級
to confirm criticals,,重擊確認攻擊骰
LONG JUMP,,跳遠
MASTER STRIKE,,大師之擊
Attained,,取得
Disarm Traps,,解除陷阱
Temp Attack,,暫時攻擊
CHARACTER,,角色
Barbarian|Level,,野蠻人|等級
DETECT EVIL,,偵測邪惡
"Master strike cannot be used again on the same target within|24 hours, whether they pass the Fortitude save or not.",,無論是否通過了豁免檢定，該生物|在24小時內免疫同一個盜賊的大師之擊
MAP FIGURE,,地圖立牌
+1d10,,+1d10
COMBAT MANOEUVRES,,戰技
Level|Adjustment,,等級|調整
STR,,STR
"Racial,|Feats,|Synergy",,"種族,|專長,|合計"
Profession (engineer),,專業(工程師)
AC,,AC
PARTY FUNDS,,隊伍資金
PARTY,,隊伍
Profession (librarian),,專業(圖書館員)
1ft,,1呎
+1d6 Channel Energy damage,,+1d6 引導能量傷害
ARCANE BOND,,奧術聯結
Perform (percussion),,表演(打擊)
AURA OF FAITH,,堅信靈光
Scry on familiar,,探知魔寵
GOOD,,善良
NPC GROUP,,NPC群
QUEST ITEMS,,任務道具
1d4,,1d4
FALL,,墜落
Weapon type,,武器類型
Heavy Load,,重載
Summoned|Today,,今日|已召喚
Caster|Level,,施法者|等級
Morale|Bonus,,士氣|加值
DIVINE GRACE,,神恩
Improved Critical,,精通重擊
ft,,呎
Name,,姓名
sq,,格
FEMALE,,女性
TEAMWORK FEATS,,團隊專長
CATCH LEDGE,,抓住邊緣
+1 enhancement (does not stack),,+1 增強加值(不可疊加)
FAVOURED ENEMIES,,宿敵
Inventory,,道具欄
Race,,種族
Perform (act),,表演(戲劇)
Profession (woodcutter),,專業(伐木工)
"From level 10, a Rogue|can take Advanced Talents",,10級起盜賊可以|選擇高級天賦
"Immune to fear, psionic or otherwise",,免疫恐懼、靈能及其他類法術能力
Allies within 10ft get +4 to saves against fear effects.,,10呎以內的盟友在對抗恐懼效果的豁免上獲得+4士氣加值
1 burn,,-1 超載
Flurry of Blows Attack Bonus,,疾風連擊攻擊加值
CHALLENGE,,挑戰
DEFENCE,,防護
5ft,,5呎
Endurance,,堅忍
DRUID,,德魯伊
Advanced Talents,,高級天賦
Spell Resistance,,法術抗力
Craft (glass),,工藝(吹玻璃)
Survival,,生存
INT - 12,,INT - 12
Spell Save DC = 10 + INT + Spell Level,,法術豁免DC = 10 + INT + 法術環數
Use any skill as if you were trained,,如同以受訓般使用任何技能
gp,,gp
Does not detect any other evil auras nearby.,,不會察覺法術範圍內其它的邪惡事物
Shoulders,,肩部
CON,,CON
AC Penalty,,AC減值
INT,,INT
+1 per level,,每等級 +1
-1 burn,,-1 超載
DEITY,,神祇
Caster Levels,,施法者等級
Area / Target,,範圍/目標
Worn Items,,穿戴道具
• Confused,,• 困惑
COMBAT ABILITIES,,戰鬥能力
DEX,,DEX
2d6 / 3d8,,2d6 / 3d8
Convert a confirmed critical hit to a standard hit,,將重擊命中轉為一般命中
Strength,,力量
To cast a spell without|your bonded object.,,不經由你的|聯結物品施法
UNCHAINED,,掉鍊子
Cause an enemy to die of joy or sorrow,,令一名敵人因為極度的快樂或悲傷而死去
Profession (baker),,專業(麵包師)
LANGUAGES,,語言
Apply critical effect to the 2nd sneak attack,,第二次偷襲附加重擊專長效果
Ability Modifier = (Total Ability Score - 10) ÷ 2    (Round down),,屬性調整值 = (屬性值 - 10) ÷ 2 (向下取整)
rks,,技能點
Fatigued|Penalty,,疲乏|減值
15 Acrobatics,,15特技
PARTY INVENTORY,,隊伍道具欄
Craft (shoes),,工藝(製鞋)
EQUIPMENT,,裝備
bp,,bp
CLASSES,,職業
Favoured class,,天賦職業
9ft,,9呎
Creature Name,,生物名稱
Spell Failure,,奧術失敗率
2d8,,2d8
Ability Modifier =|    (Total Ability Score - 10) ÷ 2,,屬性調整值 =| (屬性值 - 10) ÷ 2
Base Save,,基本豁免
Linguistics,,語言學
Profession (gambler),,專業(賭徒)
Immune to fear effects including magic.,,免疫恐懼法術和類法術能力
Disguise,,易容
Player,,玩家
d8 / 2d8,,d8 / 2d8
Sneaking Precision,,精準偷襲
DISTRACTION,,清心
Wisdom,,感知
Profession (sailor),,專業(水手)
(Round down),,(向下取整)
Ki Pool (adamantine),,丹田氣池(精金)
WEAPON TRAINING,,武器訓練
SPECIAL MOUNT,,特殊坐騎
SPEED,,速度
BARDIC PERFORMANCE,,吟遊表演
"As a full round, target a part of the body:  Arms: drops one carried item (no damage)  Head: confused for one round  Legs: knocked prone  Torso: 19-20 critical range  Wings: begins to fall",,一個整輪動作，攻擊目標身體的特定位置: 手: 掉落持有物(不受傷害) 頭: 困惑1輪 腳: 被擊倒 軀幹: 重擊範圍翻倍 翅: 開始墜落
Profession (courtesan),,專業(公關)
Craft (cloth),,工藝(紡布)
Successful critical hit with a firearm,,用火器重擊命中時
Bonus Spells,,獎勵法術量
"Cannot rage, run or charge|while fatigued.",,疲乏時無法狂暴!、奔跑|或衝鋒
coins,,錢幣
Value,,數量
Profession (tanner),,專業(皮匠)
Stunning Critical,,震懾重擊
Profession (shepherd),,專業(牧羊人)
Climb,,攀爬
Knowledge (religion),,知識(宗教)
Profession (soldier),,專業(士兵)
Scorpion Style,,蠍形拳
Craft (pottery),,工藝(陶藝)
HOLY CHAMPION,,神聖動物夥伴
Additional abilities,,額外特殊能力
KNOWN SPELLS,,已知法術
HIT|DICE,,|生命骰
Times Today,,今日已用次數
COUNTERSONG,,破咒曲
FORT,,強韌
Craft (leather),,工藝(鞣皮)
CHARACTER|BACKGROUND,,角色|背景
Flurry of Blows,,疾風連擊
Sense Motive,,察言觀色
This damage bonus is not multiplied by critical hits.|You must be able to see your target clearly.,,必須能夠充分地看到目標以找到要害|才能發動，額外傷害不會因重擊翻倍
Size,,體型
Fighter|Level,,戰士|等級
RANGED|ATTACK,,遠距
Temp|Bonus,,暫時|加值
HEX|TOKENS,,六角形|指示物
2d10,,2d10
Climb Speed,,攀爬速度
•  1d4 strength or dexterity damage,,• 1d4 力量或敏捷傷害
REF,,反射
Bluff,,唬騙
1 hour,,1 小時
Base|Attack,,基本|攻擊
Wholeness of Body,,混元體
Item|Bonus,,道具|加值
Misc,,雜項
Immune to poison.,,免疫所有毒素
Profession (miller),,專業(磨坊工人)
Range:,,射程
Bonus|Points,,獎勵|點數
BARDIC KNOWLEDGE,,逸聞知識
10ft,,10呎
Immune to energy drain and harmful negative energy.,,免疫能量吸取和負能量傷害
Knowledge (nature),,知識(自然)
Uncanny Dodge,,直覺閃避
FIGHTER,,戰士
Perform (wind),,表演(吹奏)
HEALTH,,健康狀態
Profession (farmer),,專業(農夫)
Still Mind,,心如止水
Craft (calligraphy),,工藝(書法)
MALE,,男性
MAP|TOKEN,,地圖|指示物
Immune to charm effects including magic.,,免疫魅惑法術和類法術能力
Saving throw,,豁免檢定
Use bonus in place of...,,替代對應的技能加值
+2 to confirm critical hits with selected weapon,,選擇的武器重擊確認攻擊骰+2
55ft,,55呎
BASE ATTACK,,基本攻擊
INITIATIVE,,先攻
DIVINE HEALTH,,神祐
Profession (trapper),,專業(捕獸人)
Craft (stonemasonry),,工藝(石匠)
TRAINING,,訓練
35ft,,35呎
FEATS,,專長
Item,,道具
Familiar|Intelligence,,魔寵|智力
Speciality Spell,,學派法術
PORTRAIT,,肖像
6ft,,6呎
OF,,信仰
Wild|Shape|Level,,自然|變身|等級
Society,,社會
Gain damage reduction 5/evil.,,獲得傷害減免 5/邪惡
Temp Damage,,暫時傷害
"Armour, Shield",,"盔甲,盾"
Impaling Critical,,穿刺重擊
Immune to the effects of all diseases including magic.,,免疫所有疾病，包括魔法疾病
SPELL SCHOOLS,,法術學派
Untrained,,未受訓
Craft (paintings),,工藝(繪畫)
Profession (innkeeper),,專業(酒保)
HIT POINTS,,生命值
Long,,遠
SAVES,,豁免
Master’s bonus ability,,主人特殊加值
Max Speed,,最大速度
Craft (carpentry),,工藝(木工)
Spells|per day,,每日|法術量
FEATS & SPECIAL ABILITIES,,專長與特殊能力
Craft (bows),,工藝(製弓)
VALUABLE ITEMS,,貴重道具
Add monk level to Acrobatics checks for jumping,,跳躍時將武僧等級加到特技檢定上
INITIATIVE|MARKER,,先攻|指示物
Range,,射程
Medium,,中
DIVINE BOND,,神契
PAYMENTS,,期數
LONG RANGE,,遠距
Skill,,技能
PREPARED SPELLS,,已準備法術
Improved Evasion,,精通反射閃避
Stealth,,隱匿
Ability|Score,,屬性|數值
CHANNEL ENERGY,,引導能量
Counter magical effects that depend on sight.|Allies within 30ft use Performance roll in place of a saving throw.,,反制依賴於視覺的法術，30呎之內的同伴|可以用吟遊詩人的表演檢定來代替自身的豁免檢定
Weight,,重量
Improved Critical or Keen weapon,,精通重擊或銳鋒術
pts,,點
Deal sneak attack damage when you charge.|Enemies with Uncanny Dodge are immune to this.,,衝鋒攻擊時造成偷襲傷害，|擁有直覺閃避的目標對此能力免疫
d00,,d
Bards can wear light armour without risking|spell failure.,,詩人可以在穿著輕甲和盾牌時|忽視以此帶來的法術失敗率
Craft (ships),,工藝(造船)
Medium Load,,中載
Spells|Known,,已知|法術量
Perform (keyboard),,表演(鍵盤)
Profession (gardener),,專業(園丁)
Channel Negative Energy,,引導負能量
Track,,追蹤
BASIC SPEED,,基本速度
Acrobatics,,特技
Counter-grapple,,倒攆猴
Counter magical effects that depend on sound.|Allies within 30ft use Performance roll in place of a saving throw,,反制依賴於聽覺的法術，30呎之內的盟友|可以用吟遊詩人的表演檢定來代替自身的豁免檢定
Craft (alchemy),,工藝(鍊金)
Performance,,表演
Tier,,階層
School,,學派
Rounds|Today,,今日|輪數
"Ranger bonus feats can be taken without the normal pre-requisites,|but only apply when not wearing heavy armour.",,根據自己的戰鬥流派選擇獎勵專長，即使自身沒有達到|該專長的先決條件，不穿戴重甲時才有效
AURA OF RIGHTEOUSNESS,,虔誠靈光
Disable Device,,解除裝置
Total,,總共
WEAPON MASTERY,,武器宗師
BAB,,BAB
Gold,,金幣
DEADLY PERFORMANCE,,奪命表演
Escape Artist,,逃脫
Profession (miner),,專業(礦工)
Max AC DEX,,最大敏捷AC
Profession (driver),,專業(車夫)
Use Magic Device,,使用魔法裝置
CRITICAL,,重擊
Temp,,暫時
ITEMS,,道具
Profession (porter),,專業(碼頭工)
"Cut out carefully with a sharp knife or scissors,|using the      marks as guides",,依照標示線，|用剪刀或刀片小心切開。
Assets,,資產
Indomitable Will,,不屈意志
MELEE|ATTACK,,近距|攻擊
Other items,,其他道具
XP,,經驗值
WILD EMPATHY,,野性認同
CONTAINER,,容器
Class,,職業
cp,,cp
"Scrolls, Potions,|Wands, Components",,"卷軸,藥水,|法杖,材料"
+1d8,,+1d8
KI POOL,,丹田氣池
Knowledge (psionics),,知識(靈能)
Immune to all diseases including magic.,,免疫所有疾病，包括魔法疾病
Apply a critical effect to the|second sneak attack in a round,,目標同一輪第二次被偷襲時|附加重擊專長效果
Combat Reflexes,,戰鬥反射
Age,,年齡
Craft (books),,工藝(裝訂書籍)
Armour Class Bonus,,防禦等級加值
NATURE BOND,,自然紐帶
Properties,,魔法特性
for every 10ft of your standard move above 30ft,,超過30呎的基本速度，每10呎獲得種族加值
Wounds,,受傷
50ft,,50呎
Level,,等級
1d8,,1d8
Religion,,信仰
Type,,類型
CMD,,CMD
Coins,,錢幣
1 target,,1個目標
Armour|& Shield,,盔甲|& 盾
Profession (fisherman),,專業(漁夫)
ALIGNMENT,,陣營
Copper,,銅幣
ABILITIES,,屬性
"Sneak attack damage can be applied when a target is flanked oris denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",,目標無法應用敏捷加值在AC上或是被夾擊時可以偷襲|遠程攻擊在30呎內才算作偷襲|偷襲傷害不會因重擊翻倍|使用非致命武器才能非致命偷襲
SCROLLS,,卷軸
Autohypnosis,,自我催眠
Craft (traps),,工藝(陷阱)
Profession (architect),,專業(建築師)
Casting|Stat,,施法|屬性
+1 DC on Channel Positive Energy,,引導正能量 +1 DC
Creature Type,,生物類型
Base|Attack Bonus /|Monk Level,,基本|攻擊加值/|武僧等級
Perform (sing),,表演(演唱)
Dispelling Critical,,驅魔重擊
DEBTS,,債務
Base|Spells,,基本|法術量
INT - 4,,INT - 4
Mythic|Tier,,神話|階層
Bloodline Spell,,血脈法術
Critical Focus,,重擊專攻
Treat unarmed attacks as adamantine weapons,,徒手攻擊被視為精金武器
Fly,,飛行
Constitution|Score,,體質|屬性值
WILD SHAPE,,自然變身
MISSION ITEMS,,任務道具
+ WIS,,+ WIS
Power|Attack,,威力|攻擊
Staggering Critical,,恍惚重擊
Spell|Resistance,,法術|抗力
ARMOUR,,盔甲
Temp Attack|Bonus,,暫時攻擊|加值
NOTES,,註記
Saving throw = 10 + Casting Stat + Spell Level,,豁免檢定 = 10 + 施法屬性 + 法術環數
Spells from your opposed schools cost two slots to prepare.,,準備對立學派法術則必須付出兩倍的同級法術位
Eyes,,眼部
Check Penalty,,檢定減值
REGULAR PAYMENTS,,分期付款
Shield AC,,盾AC
Dodge,,閃避
Craft (clothing),,工藝(製衣)
Improved Feint,,精通虛招
SKILLS,,技能
Improved Impaling Critical,,精通穿刺重擊
Fatigue|Modifier,,疲乏|調整值
Apply a critical effect to the 2nd sneak attack,,第二次偷襲附加重擊專長效果
at half speed,,以半速移動
25ft,,25呎
Appraise,,估價
STATS DISPLAY,,屬性面板
Valuables,,貴重物品
Craft (locks),,工藝(製鎖)
Intimidate,,威嚇
"Counter any identified spell of a level less than the number of|rounds of performance, as Dispel Magic",,反制任何已成功辨識的法術，其環數必須小於他持續|表演的輪數，視同解除魔法
Bonus to all|saving throws,,所有豁免檢定|獲得加值
Monk bonus applies when|unarmoured and unencumbered,,武僧加值只在|無著甲、無負重時生效
Feats,,專長
Knowledge - INT|Profession - WIS,,知識 - INT|專業 - WIS
20ft,,20呎
Skill|Bonus,,技能|加值
Damage,,傷害
Improved Uncanny Dodge,,精通直覺閃避
SNEAK ATTACK,,偷襲
CHA,,CHA
if you fail a jump by 4 or less,,如果跳遠檢定失敗但差值小於4
Bonus|Spells,,獎勵|法術
Profession (barrister),,專業(律師)
Finesse,,嫻熟
Attack Bonus,,攻擊加值
8ft,,8呎
SMITE EVIL,,制裁邪惡
BRAVERY,,英勇
Temp|Modifier,,暫時|調整值
"Fold along the dotted lines, making sure|the                hatched areas are hidden or|face down",,沿著虛線對折，|確保陰影區域超內或是朝下。
ITEM INVENTORY,,道具欄
Platinum,,白金幣
second sneak attack in a round,,附加重擊專長效果
DOMAIN,,領域
Uses|per day,,每日|次數
Scribe scroll,,抄寫卷軸
WILL,,意志
MERCIES,,恩惠
Immune to all poisons,,免疫所有毒素
Hands,,手部
Enhancements,,增強加值
Unarmed|Strike|Damage,,徒手|打擊|傷害
"Weapons, Ammo",,"武器,彈藥"
Knowledge (geography),,知識(地理)
pp,,pp
Knowledge (local),,知識(地方)
Specialist|Spell,,學派|法術
RAGE!,,狂暴!
2d6,,2d6
INT - 8,,INT - 8
Ability|Modifier,,屬性|調整值
SOOTHING PERFORMANCE,,安神
Deflection|Modifier,,偏斜|調整值
Wisdom|Penalty,,感知|減值
Ammo,,彈藥
+1 grit point,,+1 點勇毅
Profession (clerk),,專業(服侍)
Concentration,,專注檢定
Able to take 10 on any skill,,任何技能檢定都可取10
Perform (comedy),,表演(喜劇)
Non-lethal,,非致命
ATTACKS,,攻擊
Unconscious,,昏迷
Speed with Armour,,著甲速度
MYSTIC WISDOM,,醍醐灌頂
Increase damage reduction to 10/evil.,,提高傷害減免到10 / 邪惡
WIS,,WIS
Craft (baskets),,工藝(編織器具)
WIS - 8,,WIS - 8
COMBAT,,戰鬥
Profession (midwife),,專業(接生員)
ANIMAL COMPANION,,動物夥伴
Temp CMB,,暫時CMB
Hit Die,,生命骰
Ranks,,級數
INTELLIGENT ITEM,,智能道具
d4 / d8,,d4 / d8
POTIONS,,藥水
Fly Speed,,飛行速度
Training,,訓練
Apply a critical effect to the,,該輪第二次偷襲
DC,,DC
1 pt,,1 點
"Acrobatics, Heal",,特技、醫療
Swim,,游泳
Bard Level,,詩人等級
Special Ammo,,特殊彈藥
Common,,通用語
Speak with animals of its kind,,與動物同類交談
LAY ON HANDS,,聖療
2d8 / 4d8,,2d8 / 4d8
Nature,,自然
Headband,,頭飾
hp,,hp
Influence,,影響
Reflex,,反射
Diplomacy,,交涉
Close,,近
Ring,,戒指
SPELL|RANGE,,|法術射程
Wis,,Wis
Head / Hat / Mask,,頭部
"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",,目標無法應用敏捷加值在AC上或是被夾擊時可以偷襲|遠程攻擊在30呎內才算作偷襲|偷襲傷害不會因重擊翻倍|使用非致命武器才能非致命偷襲
TOTAL FUNDS,,總資金
