Original,Part of,Translation
only if you have at least one rank.,"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.",solo se hai almeno un grado.
RAGE!,RAGE! POWERS,IRA!
POWERS,RAGE! POWERS,POTERI
PROHIBITED,PROHIBITED SCHOOLS,SCUOLE
SCHOOLS,PROHIBITED SCHOOLS,PROIBITE
MAX WEAPON,MAX WEAPON|ENHANCEMENT,POTENZIAMENTO
ENHANCEMENT,MAX WEAPON|ENHANCEMENT,MASSIMO ARMA
TURNS / REBUKES / HEALING,TURNS / REBUKES / HEALING|USES PER DAY,SCACCIARE / INTIMORIRE / CURARE
USES PER DAY,TURNS / REBUKES / HEALING|USES PER DAY,USI AL GIORNO
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to    5/—,Colpo Penetrante
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to    5/—,Ignora la riduzione del danno fino a
ATTACK,ATTACK BONUS,ATTACCO
BONUS,ATTACK BONUS,BONUS
Improved Cleaving Finish,Improved Cleaving Finish    Any number per round,Incalzare Terminale Migliorato
Any number per round,Improved Cleaving Finish    Any number per round,Qualsiasi numero di volte a round
Knowledge -,Knowledge - INT|Profession - WIS,Conoscenza - 
INT,Knowledge - INT|Profession - WIS,INT
Profession -,Knowledge - INT|Profession - WIS,Professione - 
WIS,Knowledge - INT|Profession - WIS,SAG
Tireless,Tireless BLOODRAGE!,IRA DI SANGUE
BLOODRAGE!,Tireless BLOODRAGE!,Instancabile
Seize the Moment,Seize the Moment    AoO when ally confirms critical hit,Cogli l'Attimo
AoO when ally confirms critical hit,Seize the Moment    AoO when ally confirms critical hit,AoO quando un alleato conferma un colpo critico
WILL,WILL SAVE DC,VOLONTÀ
SAVE DC,WILL SAVE DC,CD SALVEZZA
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Arma mano-secndria
less for a light weapon),Off-hand weapon    (2 less for a light weapon),meno per un arma leggera)
Cost:,Cost: 2 pt,Costo:
2 pt,Cost: 2 pt,2 punti
1 /day,See the Named  1 /day,1/gg
CON,+ CON| per level,COS
per level,+ CON| per level,per livello
STANCES,STANCES KNOWN,POSE
KNOWN,STANCES KNOWN,CONOSCIUTE
Point Blank Shot,Point Blank Shot    +1 to attack and damage within first range increment,Tiro Ravvicinato
+1 to attack and damage within first range increment,Point Blank Shot    +1 to attack and damage within first range increment,+1 all'attacco e ai danni con armi a distanza entro 9m
MANOEUVRES,MANOEUVRES READIED,MANOVRE
READIED,MANOEUVRES READIED,PREPARATE
Back to Back,Back to Back     +2 to AC against flanking,Schiena contro Schiena
to,Back to Back     +2 to AC against flanking,alla
AC,Back to Back     +2 to AC against flanking,CA
against flanking,Back to Back     +2 to AC against flanking,contro att. ai fianchi
OPPOSED,OPPOSED SCHOOLS,SCUOLE
SCHOOLS,OPPOSED SCHOOLS,OPPOSTE
BONUS,MIND BLADE|BONUS,BONUS
Damage,Damage +1d6,Danno
+1d6,Damage +1d6,+1d6
KI POOL,KI POOL|CAPACITY,RISERVA KI
CAPACITY,KI POOL|CAPACITY,CAPACITÀ
Class|Skills,Class|Skills|+3,Abilità|di classe
MAX CONTROL UNDEAD,MAX CONTROL UNDEAD|TOTAL HIT DICE,CONTROLLARE NON MORTI MASSIMO
TOTAL HIT DICE,MAX CONTROL UNDEAD|TOTAL HIT DICE,DADO VITA TOTALE
Gunslinger’s Dodge,"Gunslinger’s Dodge    Move 5ft immediately; +2 AC against triggering attackAlternatively, drop prone for +4 AC",Schivata del Pistolero
"Move 5ft immediately; +2 AC against triggering attackAlternatively, drop prone for +4 AC","Gunslinger’s Dodge    Move 5ft immediately; +2 AC against triggering attackAlternatively, drop prone for +4 AC","Muoversi di 1.5m come azione immediata;+2 a CA contro l'attacco|In alternativa, farsi cadere prono per avere +4 a CA"
FLAT-FOOTED,FLAT-FOOTED|CMD,DMC
CMD,FLAT-FOOTED|CMD,IMPREPARATO
GRAPPLE,GRAPPLE BONUS,BONUS
BONUS,GRAPPLE BONUS,AFFERRARE
HEALING,HEALING|HIT POINTS,GUARIRE
HIT POINTS,HEALING|HIT POINTS,PUNTI FERITA
Slow Fall,Slow Fall 70 ft,Caduta lenta
70 ft,Slow Fall 70 ft,21 m
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,PUNTEGGIO DI|COSTITUZIONE
BONUS,CONSTITUTION|SCORE|BONUS,BONUS
RAGE!,RAGE!|Duration,IRA!
Duration,RAGE!|Duration,Durata
Fast Movement,Fast Movement +60 ft,Movimento veloce
+60 ft,Fast Movement +60 ft,18 m
ENHANCEMENT,ENHANCEMENT|BONUS,BONUS
BONUS,ENHANCEMENT|BONUS,MIGLIORAMENTO
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empatia selvatica
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Migliora l'atteggiamento di un animale
"On a hit, Fort (DC 10 + ½ level +","On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round","Se colpisce, TS Tempra (CD 10 + ½ Livello + "
WIS,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",SAG
) or stunned for 1 round,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",) oppure è stordito per 1 round
Sneak attack damage can be applied when a target is flanked or|is denied their,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",Danno da attacchi furtivi applicabile quando un bersaglio è|attaccato dal fianco o gli è negato il bonus
DEX,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",DES
bonus to,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",alla
AC,"Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",CA
".|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.","Sneak attack damage can be applied when a target is flanked or|is denied their DEX bonus to AC.|On ranged attacks, it only applies within 30 ft.|It is not multiplied by critical hits.|It cannot be non-lethal unless using a non-lethal weapon.",".|Per attacchi a distanza, applicabile solo entro 9 m.|Non è moltiplicato da colpi critici.|Non può essere non-letale a meno di non usare un arma non letale."
STOLEN SPELL,STOLEN SPELL|CAPACITY,CAPIENZA MASSIMA
CAPACITY,STOLEN SPELL|CAPACITY,INCANTESIMI RUBATI
Cleave,Cleave    Extra attack if you hit,Incalzare
Extra attack if you hit,Cleave    Extra attack if you hit,Attacco extra se si colpisce
FASCINATE,FASCINATE|MAX AUDIENCE,AFFASCINARE
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,PUBBLICO MAX
ft,30 ft,m
(which grants,(which grants +8 to Acrobatics),(che garantisce
to Acrobatics),(which grants +8 to Acrobatics),ad Acrobazia)
MISFIRE,MISFIRE VALUE,Valore di
VALUE,MISFIRE VALUE,Inceppamento
3d6,"Swap 3d6 of chastise damage, weaken for 1 round",3d6
1 round,"Swap 3d6 of chastise damage, weaken for 1 round",1 round
30 ft / 6 sq,The default range increment of a |thrown mind blade is 30 ft / 6 sq.,9m / 6q
FLURRY ATTACK,FLURRY ATTACK BONUS,RAFFICA DI COLPI
BONUS,FLURRY ATTACK BONUS,BONUS
Cheat Death,Cheat Death    Restore hp equal to all remaining grit,Truffare la Morte
Restore hp equal to all remaining grit,Cheat Death    Restore hp equal to all remaining grit,Rimane a 1 pf invece che andare a 0 o meno
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Trattato come esterno
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Immune a charme ed altri effetti che|affliggono gli esterni.|Riduzione del danno 10/magia
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,RIDUZIONE PENALITÀ|
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,a PROVA dell' ARMATURA
DANGER SENSE,DANGER SENSE|BONUS,PERCEPIRE IL PERICOLO
BONUS,DANGER SENSE|BONUS,BONUS
SAVING THROW,SAVING THROW|BONUS,TIRO SALVEZZA
BONUS,SAVING THROW|BONUS,BONUS
AURA,AURA|RANGE,AURA
RANGE,AURA|RANGE,RAGGIO
2 ki points,Ally may re-roll attack or save - 2 ki points,2 punti ki
Quick Clear,Quick Clear    Fix a broken firearm as standard action,Riparazione Rapida
Fix a broken firearm as standard action,Quick Clear    Fix a broken firearm as standard action,Ripara un'arma rotta come azione standard
Double Slice,Double Slice    Add your full STR to damage with an off-hand weapon,Doppio Taglio
Add your full,Double Slice    Add your full STR to damage with an off-hand weapon," Aggiunge bonus di"
STR,Double Slice    Add your full STR to damage with an off-hand weapon,FOR
to damage with an off-hand weapon,Double Slice    Add your full STR to damage with an off-hand weapon,totale ai danni dell'arma secondaria
"Protect self against spirits, casting time","Protect self against spirits, casting time 10 mins","Protegge se stesso dagli spiriti, tempo lancio"
10 mins,"Protect self against spirits, casting time 10 mins",10 min
2 ki points,"As a swift action once a day, create a 20ft-radius aura of|luck allowing yourself and all allies to take the better of two|rolls for attacks and saving throws.|Aura lasts 1 round for every 2 ki points spent",2 punti ki
Knowledge Pool,Knowledge Pool|Prepare any Magus spell as if known,Riserva di Conoscenza
Prepare any Magus spell as if known,Knowledge Pool|Prepare any Magus spell as if known,Prepara un inc. da Magus come fosse conosciuto
ATTACK,ATTACK|BONUS,ATTACCO
BONUS,ATTACK|BONUS,BONUS
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,Senso della natura
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,+2 a Conoscenza (Natura) e Sopravvivenza
ARTIFICER KNOWLEDGE,ARTIFICER KNOWLEDGE|BONUS,BONUS
BONUS,ARTIFICER KNOWLEDGE|BONUS,CONOSCENZE ARTEFICE
Forbidden|During,Forbidden|During|RAGE!,Proibite|durante
RAGE!,Forbidden|During|RAGE!,IRA!
"economy,","+2 economy, -2 loyalty","economia,"
loyalty,"+2 economy, -2 loyalty",lealtà
Use,Use WIS in place of STR/DEX for monk weapons,Usa
WIS,Use WIS in place of STR/DEX for monk weapons,SAG
in place of,Use WIS in place of STR/DEX for monk weapons,invece di
STR,Use WIS in place of STR/DEX for monk weapons,FOR
DEX,Use WIS in place of STR/DEX for monk weapons,DES
for monk weapons,Use WIS in place of STR/DEX for monk weapons,per le armi del monaco
2 ki points,Receive enlightenment while you rest - 2 ki points,2 punti ki
EXORCISM,EXORCISM|DC,ESORCISMO
DC,EXORCISM|DC,CD
Slow Fall,Slow Fall 50 ft,Caduta lenta
50 ft,Slow Fall 50 ft,15 m
Use,Use WIS instead of DEX for attacks with a bow,Usa
WIS,Use WIS instead of DEX for attacks with a bow,SAG
instead of,Use WIS instead of DEX for attacks with a bow,invece di
DEX,Use WIS instead of DEX for attacks with a bow,DES
for attacks with a bow,Use WIS instead of DEX for attacks with a bow,per attacchi con l'arco
COMBAT|MANEUVRE,COMBAT|MANEUVRE|BONUS,BONUS|MANOVRE in
BONUS,COMBAT|MANEUVRE|BONUS,COMBATTIMENTO
"Aquatic subtype, amphibious trait, swim at land speed, endure cold","Seaborn|Aquatic subtype, amphibious trait, swim at land speed, endure cold","Sottotipo acquatico, tratti anfibi, nuota a velocità normale, resistenza al freddo"
3 /day,Spirit form  3 /day; Spirit who walks,3/gg
; Spirit who walks,Spirit form  3 /day; Spirit who walks,; Spirito che cammina
(which grants,(which grants +16 to Acrobatics),(che garantisce
to Acrobatics),(which grants +16 to Acrobatics),ad Acrobazia)
Gunslinger Initiative,"Gunslinger Initiative    +2 Initiative; (with Quick Draw, draw firearm as part of initiative)",Iniziativa del Pistolero
"+2 Initiative; (with Quick Draw, draw firearm as part of initiative)","Gunslinger Initiative    +2 Initiative; (with Quick Draw, draw firearm as part of initiative)",+2 a Iniziativa; (con Estrazione Rapida estrai l'arma come parte dell'iniziativa)
TELEPORT,TELEPORT|RANGE,TELETRASPORTO
RANGE,TELEPORT|RANGE,RAGGIO
"Once per round, add","Once per round, add 1d6 to the result of a failed d20 roll|that included your spirit bonus.","Una volta per round, aggiungi"
1d6,"Once per round, add 1d6 to the result of a failed d20 roll|that included your spirit bonus.",1d6
to the result of a failed d20 roll|that included your spirit bonus.,"Once per round, add 1d6 to the result of a failed d20 roll|that included your spirit bonus.",al risultato di un tiro di|d20 modificato dal bonus spirituale fallito.
Greater,Greater RAGE!,Superiore
RAGE!,Greater RAGE!,IRA!
GREATER,GREATER RAGE!,SUPERIORE
RAGE!,GREATER RAGE!,IRA!
RAGE!,RAGE!|TODAY,IRA!
TODAY,RAGE!|TODAY,OGGI
RAGE!,RAGE!|Today,IRA!
Today,RAGE!|Today,OGGI
RAGE!,RAGE!  DURATION|PER DAY,IRA!
DURATION,RAGE!  DURATION|PER DAY,DURATA
PER DAY,RAGE!  DURATION|PER DAY,AL GIORNO
Off-hand weapon,Off-hand weapon    (crossbow only),Arma secondaria
(crossbow only),Off-hand weapon    (crossbow only),(solo balestra)
ARMOUR CLASS,ARMOUR CLASS|BONUS,CLASSE ARMATURA
BONUS,ARMOUR CLASS|BONUS,BONUS
2/day,Vestige Metamagic 2/day,2/gg
TRICKS,TRICKS|KNOWN,TRUCCHI
KNOWN,TRICKS|KNOWN,CONOSCIUTI
QUIVER,QUIVER DAYS,DURATA
DAYS,QUIVER DAYS,PALMO
"stability,","+3 stability, +4bp consumption","stabilità,"
+4bp,"+3 stability, +4bp consumption",+4 consumo
consumption,"+3 stability, +4bp consumption",bp
Improved Spell Recall,Improved Spell Recall|Reprepare any spell already cast today,Ricordare Incantesimi Migliorato
Reprepare any spell already cast today,Improved Spell Recall|Reprepare any spell already cast today,Ricorda un incantesimo già lanciato oggi
10 mins / level,"Protect party against spirits, lasts 10 mins / level",10min / livello
Heal your own wounds -,Heal your own wounds - 2 ki points,Curare le proprie ferite -
2 ki points,Heal your own wounds - 2 ki points,1 punto Ki
Strength Score|Penalty:,Strength Score|Penalty: -2,Punteggio di Forza|Penalità:
Seer,Seer (clairsentience),Veggente
(clairsentience),Seer (clairsentience),(chiaroveggenza)
Death’s Shot,"Death’s Shot    On a critical, Fort (DC 10 + ½ level + DEX) or die",Colpo della Morte
"On a critical, Fort (DC 10 + ½ level + DEX) or die","Death’s Shot    On a critical, Fort (DC 10 + ½ level + DEX) or die","Se critico, TS Tempra (CD 10 + ½ Livello + DES) oppure muore"
HEALING,HEALING|PER DAY,CURARE
PER DAY,HEALING|PER DAY,AL GIORNO
Fast Movement,Fast Movement +40 ft,Movimento veloce
+40 ft,Fast Movement +40 ft,12 m
2 ki points,Reflex save to avoid damage - 2 ki points,2 punti ki
Cost:,Cost: (1 pt to fix as a move action),Costo:
(1 pt to fix as a move action),Cost: (1 pt to fix as a move action),(1 punto per riparare come azione di movimento)
Weapon Finesse,Weapon Finesse  Use DEX for melee attack,Arma Accurata
Use,Weapon Finesse  Use DEX for melee attack,Usa
DEX,Weapon Finesse  Use DEX for melee attack,DES
for melee attack,Weapon Finesse  Use DEX for melee attack,per attacchi in mischia
RAGE!,RAGE!|PER DAY,IRA!
PER DAY,RAGE!|PER DAY,AL GG
BASE|ATTACK,BASE|ATTACK BONUS,ATTACCO|BASE
BONUS,BASE|ATTACK BONUS,BONUS
FLAT-FOOTED,FLAT-FOOTED ARMOUR CLASS,IMPREPARATO
ARMOUR CLASS,FLAT-FOOTED ARMOUR CLASS,CLASSE ARMATURA
AURA BONUS,AURA BONUS|MULTIPLIER,BONUS AURA
MULTIPLIER,AURA BONUS|MULTIPLIER,MOLTIPLICATORE
ARCANE SIGHT,ARCANE SIGHT|PER DAY,VISTA ARCANA
PER DAY,ARCANE SIGHT|PER DAY,AL GIORNO
ENHANCEMENT,CURRENT WEAPON|ENHANCEMENT,POTENZIAMENTO
Fast Movement,Fast Movement +20 ft,Movimento veloce
+20 ft,Fast Movement +20 ft,6 m
Pistol-whip,"Pistol-whip    Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone",Colpo di Calcio
"Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone","Pistol-whip    Surprise melee attack.  One handed: d6/d4  Two handed: d10/d8Also, CMB to knock prone","Attacco in mischia a sorpresa. 1 mano: 1d6/d1d4. 2 mani: 1d10/1d8|Se riesce, BMC per buttare a terra"
EXTRA,EXTRA DAMAGE,DANNO
DAMAGE,EXTRA DAMAGE,EXTRA
Nomad,Nomad (psychoportation),Nomade
(psychoportation),Nomad (psychoportation),(psicotrasporto)
ENCOUNTER,ENCOUNTER|KNOWLEDGE,CONSCENZE
KNOWLEDGE,ENCOUNTER|KNOWLEDGE,INCONTRO
MAX STOLEN,MAX STOLEN|SPELL LEVEL,LIVELLO MASSIMO
SPELL LEVEL,MAX STOLEN|SPELL LEVEL,INCANTESIMI RUBATI
Evil:,Evil: +2 Economy,Malvagio:
Economy,Evil: +2 Economy,Economia
AC,-2 AC   -8 AC against yourself,CA
against yourself,-2 AC   -8 AC against yourself,contro te stesso
Bonus Spells,Bonus Spells|INT,Inc. Bonus
"Recover from being fatigued, shaken or sickened","Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered","Rimuove condizione affaticato, infermo o scosso"
Level 8:,"Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered",Livello 8: 
"recover from being exhausted, frightened, nauseated or staggered","Recover from being fatigued, shaken or sickened|Level 8: recover from being exhausted, frightened, nauseated or staggered","Rimuove barcollante, esausto, nauseato o spaventato"
Startling Shot,"Startling Shot    On a miss, target is flat footed till its next turn",Colpo Sorprendente
"On a miss, target is flat footed till its next turn","Startling Shot    On a miss, target is flat footed till its next turn","Sbagliando il tiro, il bersaglio è impreparato fino al suo prossimo turno"
Coordinated Charge,Coordinated Charge    Charge the same foe as an ally,Carica Coordinata
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,Carica lo stesso nemico caricato da un alleato
Applies to owner when within 5 ft,* Applies to owner when within 5 ft,"Si applica al possessore se entro 4,5m"
Utility Shot,"Utility Shot    Blast lock, Shoot unattended object or Stop bleeding",Colpo di Utilità
"Blast lock, Shoot unattended object or Stop bleeding","Utility Shot    Blast lock, Shoot unattended object or Stop bleeding",Distrugge una serratura o|Sposta oggetti incustoditi o|termina sanguinamento
USES,USES|PER DAY,USI
PER DAY,USES|PER DAY,AL GIORNO
BONUS,BONUS|DURATION,BONUS
DURATION,BONUS|DURATION,DURATA
Targeting,"Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall",Bersagliare
"As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall","Targeting    As a full round, target a part of the bodyArms: drops one carried item (no damage)Head: confused for one roundLegs: knocked proneTorso: 19-20 critical rangeWings: begins to fall","Come azione di attacco completo, scegli una parte del corpo:| Braccia: il bersaglio fa cadere un oggetto (nessun danno)| Testa: confuso per 1 round| Gambe: cade a terra prono| Torso: minaccia di critico 19-20| Ali: inizia a cadere"
REBUKES,REBUKES PER DAY,INTIMORIRE
PER DAY,REBUKES PER DAY,AL GIORNO
Target’s,Target’s|CHA,CAR
CHA,Target’s|CHA,del Bersaglio
MAX POWER,MAX POWER|LEVEL,LIVELLO MAX
LEVEL,MAX POWER|LEVEL,POTERE
TRAP SENSE,TRAP SENSE|REFLEX BONUS,PERCEPIRE TRAPPOLE
REFLEX BONUS,TRAP SENSE|REFLEX BONUS,BONUS RIFLESSI
AC,AC +1,CA
COMBAT|MANEUVRE,COMBAT|MANEUVRE|DEFENCE,DIFESA|MANOVRE in
DEFENCE,COMBAT|MANEUVRE|DEFENCE,COMBATTIMENTO
SUBSTANCE,SUBSTANCE|INFUSION DC,SOSTANZA
INFUSION DC,SUBSTANCE|INFUSION DC,CD INFUSIONE
KNOWLEDGE,KNOWLEDGE |BONUS,CONOSCENZA
BONUS,KNOWLEDGE |BONUS,BONUS
CHANNEL,CHANNEL|RANGE,DISTANZA|
RANGE,CHANNEL|RANGE,di INCANALARE
DURATION,DURATION|PER DAY,DURATA
PER DAY,DURATION|PER DAY,AL GIORNO
Outflank,Outflank    When flanking,Grande Fiancheggiatore
When flanking,Outflank    When flanking,Durante fiancheggiamento
Penalty to,"Penalty to AC, and an extra AC penalty against yourself.",Penalità alla
AC,"Penalty to AC, and an extra AC penalty against yourself.",CA
", and an extra","Penalty to AC, and an extra AC penalty against yourself.",", e penalità extra"
penalty against yourself.,"Penalty to AC, and an extra AC penalty against yourself.",contro te stesso.
Manyshot,"Manyshot    When making a full-round attack, your first attack has two arrows",Tiro Multiplo
"When making a full-round attack, your first attack has two arrows","Manyshot    When making a full-round attack, your first attack has two arrows"," Durante un attacco completo, il primo attacco usa 2 frecce"
TEAMWORK,TEAMWORK|FEATS,TALENTI
FEATS,TEAMWORK|FEATS,di SQUADRA
Make unarmed strikes with any free limb|Flurry of blows uses full,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",Effettua attacchi senz'armi con ogni arto libero|Raffica di colpi utilizza il bonus di
STR,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",FOR
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand","completo, anche con la mano secondaria"
Number of thinking beings and their,Number of thinking beings and their INT,Numero di creature coscienti e loro
INT,Number of thinking beings and their INT,INT
Cost:,Cost: all remaining pts,Costo:
all remaining pts,Cost: all remaining pts,tutti i punti rimasti
WILL SAVE,WILL SAVE|DC,TS VOLONTÀ
DC,WILL SAVE|DC,CD
MELEE ATTACK,MELEE ATTACK|BONUS,ATTACCO in MISCHIA
BONUS,MELEE ATTACK|BONUS,BONUS  
WILL,WILL|SAVE DC,VOLONTÀ
WILL|SAVE,WILL|SAVE DC,SALVEZZA|VOLONTÀ
SAVE DC,WILL|SAVE DC,CD SALVEZZA
DC,WILL|SAVE DC,CD
Lose,"Lose 1000 xp, receive Heal on reaching 0 hp",Perde
1000 xp,"Lose 1000 xp, receive Heal on reaching 0 hp",1000 PE
", receive Heal on reaching","Lose 1000 xp, receive Heal on reaching 0 hp",", riceve Cura se raggiunge"
0 hp,"Lose 1000 xp, receive Heal on reaching 0 hp",0 pv
Craft -,Craft - INT|Perform - CHA,Artigianato - 
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Intrattenere - 
CHA,Craft - INT|Perform - CHA,CAR
Snap shot,Snap shot    AoO with a ranged weapon within 5ft,Tiro Scattante
AoO with a ranged weapon within,Snap shot    AoO with a ranged weapon within 5ft,AdO con arma a distanza entro
5ft,Snap shot    AoO with a ranged weapon within 5ft,"1,5m"
Default damage type,Default damage type|Slashing,Danno predefinito
Slashing,Default damage type|Slashing,Tagliente
Spirit form,Spirit form  2 /day,Forma di Spirito
2 /day,Spirit form  2 /day,2/gg
d6 +,d6 + (,d6 +
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",Finta del Compagno Migliorata
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO","Quando un alleato finta, guadagni un AdO"
ENERGY,ENERGY|ROLL,TIRO
ROLL,ENERGY|ROLL,ENERGIA
Stunning Shot,Stunning Shot    Stun target for 1 round,Colpo Stordente
Stun target for 1 round,Stunning Shot    Stun target for 1 round,Stordisce il bersaglio per 1 round
Furious Focus,Furious Focus    Ignore power attack penalty for first attack,Furia Focalizzata
Ignore power attack penalty for first attack,Furious Focus    Ignore power attack penalty for first attack,Ignora la penltà per atcco poder. al prm atcco
Deadeye,Deadeye    Use touch AC beyond first range increment,Occhio Letale
Use touch AC beyond first range increment,Deadeye    Use touch AC beyond first range increment,Usa CA a contatto oltre il primo incremento di gittata
Precise shot,Precise shot    No penalty firing into melee,Tiro Preciso
No penalty firing into melee,Precise shot    No penalty firing into melee,Nessuna penalità al tiro in mischia
TRAP SENSE,TRAP SENSE|BONUS,PERCEPIRE TRAPPOLE
BONUS,TRAP SENSE|BONUS,BONUS
AC,AC BONUS,CA
BONUS,AC BONUS,BONUS
Slow Fall,Slow Fall 60 ft,Caduta lenta
60 ft,Slow Fall 60 ft,18 m
Coordinated Defence,Coordinated Defence    +2 to CMD,Difesa Coordinata
to,Coordinated Defence    +2 to CMD,a
CMD,Coordinated Defence    +2 to CMD,DMC
MAX EFFECT,MAX EFFECT|DURATION,MASSIMA DURATA
DURATION,MAX EFFECT|DURATION,EFFETTO
RAGE!,RAGE! DURATION,IRA!
DURATION,RAGE! DURATION,DURATA
(which grants,(which grants +12 to Acrobatics checks for jumping),(fornisce
to Acrobatics checks for jumping),(which grants +12 to Acrobatics checks for jumping),alle prove di Acrobazia per saltare)
Cost:,Cost: 1 pt per extra range increment,Costo:
1 pt per extra range increment,Cost: 1 pt per extra range increment,1 punto per ogni incremento di gittata
WILL SAVE,WILL SAVE|BONUS,BONUS SALVEZZA
BONUS,WILL SAVE|BONUS,|su VOLONTÀ
(which grants,(which grants +4 to Acrobatics),(che garantisce
to Acrobatics),(which grants +4 to Acrobatics),ad Acrobazia)
PER DAY,POWER|PER DAY,al GIORNO
Feint Partner,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",Finta del Compagno
"When ally feints, enemy loses","Feint Partner    When ally feints, enemy loses DEX bonus to AC","Quando un alleato Finta, Il nemico perde il bonus"
DEX,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",DES
bonus to,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",alla 
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",CA
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Tiro Preciso
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Attacco in mischia con armi a distanza senza penalità -4
INITIATIVE,INITIATIVE|BONUS,BONUS
BONUS,INITIATIVE|BONUS,INIZIATIVA
Tireless,Tireless RAGE!,Infaticabile
RAGE!,Tireless RAGE!,IRA!
HEALING POINTS,HEALING POINTS|PER DAY,PUNTI GUARITI
PER DAY,HEALING POINTS|PER DAY,PER GIORNO
CASTER,CASTER LEVEL,LIVELLO
LEVEL,CASTER LEVEL,INCANTATORE
Strength,Strength +2,Forza
NEGATIVE LEVELS,NEGATIVE LEVELS|PER DAY,LIVELLI NEGATIVI
PER DAY,NEGATIVE LEVELS|PER DAY,AL GIORNO
MAX MANOEUVRE,MAX MANOEUVRE LEVEL,MAX MANOVRE
LEVEL,MAX MANOEUVRE LEVEL,PER LIVELLO
Menacing Shot,Menacing Shot    Shoot into the air to inspire fear within 30ft,Colpo Minaccioso
Shoot into the air to inspire fear within 30ft,Menacing Shot    Shoot into the air to inspire fear within 30ft,Spara in aria per ispirare paura nel raggio di 9m
SKILL,SKILL|PENALTY,ABILITÀ
PENALTY,SKILL|PENALTY,PENALITÀ
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,COLPO DA MAESTRO
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,CD TEMPRA
SPECIALITY,SPECIALITY SCHOOL,SPECIALIZZAZIONE
SCHOOL,SPECIALITY SCHOOL,SCUOLA
