Original,Part of,Translation
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE|THRESHOLD,RISQUE D'ÉCHEC
THRESHOLD,ARCANE SPELL FAILURE|THRESHOLD,DES SORTS PROFANES
sq,6 sq,ca
Duck and Cover,Duck and Cover    Take ally’s result on reflex save,A l'abri
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,Prend le résultat d'un allié sur un jet de réflexes
MAX POWER,MAX POWER|LEVEL,POUVOIR MAX
LEVEL,MAX POWER|LEVEL,NIVEAU
DC,DC 10,DD
Stunning Shot,Stunning Shot    Stun target for 1 round,Tir étourdissant
Stun target for 1 round,Stunning Shot    Stun target for 1 round,Étourdi la cible pour 1 tour
"Once a week, cast","Once a week, cast miracle as a spell-like ability.","Une fois par semaine, lancez "
miracle,"Once a week, cast miracle as a spell-like ability.",miracle
as a spell-like ability.,"Once a week, cast miracle as a spell-like ability."," comme pouvoir magique."
Strength Score|Penalty:,Strength Score|Penalty: -2,Score de Force|Pénalité
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,DD d'Acrobaties = 5 + Adversaire
CMD,Acrobatics DC = 5 + Opponent’s CMD,DMD
INITIATIVE,INITIATIVE|BONUS,INITIATIVE
BONUS,INITIATIVE|BONUS,BONUS
Precise shot,Precise shot    No penalty firing into melee,Tir de précision
No penalty firing into melee,Precise shot    No penalty firing into melee,Pas de malus pour tirer dans la mêlée
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,DEGRÉ DE
DEFENCE,COMBAT MANOEUVRE|DEFENCE,MANOEUVRE DÉFENSIVE
COMBAT / DC,COMBAT / DC|BONUS,BONUS AU
BONUS,COMBAT / DC|BONUS,COMBAT / DD
All PCs speak ‘common’; each positive,All PCs speak ‘common’; each positive INT modifier or rank|in linguistics adds another language.,Tous les PJs parlent le commun ; chaque modificateur positif|d'
INT,All PCs speak ‘common’; each positive INT modifier or rank|in linguistics adds another language.,INT
modifier or rank|in linguistics adds another language.,All PCs speak ‘common’; each positive INT modifier or rank|in linguistics adds another language.," ou rang en culture ajoute un langage."
FEAR EFFECT,FEAR EFFECTWILL BONUS,VOLONTÉ CONTRE
WILL BONUS,FEAR EFFECTWILL BONUS,LES EFFETS DE PEUR
Default range increment,Default range increment|30 ft / 6 sq.,Incrément de portée par défaut
30 ft / 6 sq,Default range increment|30 ft / 6 sq.,9 m / 6 ca
dodge bonus for each adjacent enemy,+1 dodge bonus for each adjacent enemy,bonus d'evitemen pour chaque ennemi adjacent
Morale Bonus,Morale Bonus    Inspire Courage and similar,Bonus de moral
Inspire Courage and similar,Morale Bonus    Inspire Courage and similar,Inspiration Vaillante et autres
STABILITY,"STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest",STABILITÉ
"On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest","STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest","Sur un succès, -1 d'insécurité ou gagne 1pc; sur un échec, +1 d'insécurité; sur un échec de 4 ou plus, +d4 d'insécurité"
Manyshot,Manyshot    Shoot two arrows simultaneously,Feu nourri
Shoot two arrows simultaneously,Manyshot    Shoot two arrows simultaneously,Tir de deux flèches à la fois
Knowledge -,Knowledge - INT|Profession - WIS,Connaissances - 
INT,Knowledge - INT|Profession - WIS,INT
Profession -,Knowledge - INT|Profession - WIS,Profession -
WIS,Knowledge - INT|Profession - WIS,SAG
Venom Immunity,Venom Immunity|Immune to all poisons,Immunité aux venins
Immune to all poisons,Venom Immunity|Immune to all poisons,Immunité à tous les poisons
INSPIRE HEROICS,INSPIRE HEROICS  MAX AFFECTED,INSPIRATION HEROIQUE
MAX AFFECTED,INSPIRE HEROICS  MAX AFFECTED,MAX AFFECTES
DC,DC    5,DD
Pack Attack,Pack Attack    Ally’s attack allows you to take 5ft step,Attaque en meute
Ally’s attack allows you to take,Pack Attack    Ally’s attack allows you to take 5ft step,L'attaque d'un allié vous permet de faire un pas de côté
5ft,Pack Attack    Ally’s attack allows you to take 5ft step,Pas de
step,Pack Attack    Ally’s attack allows you to take 5ft step,côté
Cost:,Cost: 2 pt,Coût:
2 pt,Cost: 2 pt,2 pts
FAMILIAR,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,FAMILIER
ANIMAL COMPANION,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,COMPAGNON ANIMAL
MOUNT,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,MONTURE
SUMMONED CREATURE,FAMILIAR  /  ANIMAL COMPANION  /  MOUNT  /  SUMMONED CREATURE,CRÉATURE INVOQUÉE
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Empathie sauvage
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Améliore l'attitude d'un animal
Weapon Finesse,Weapon Finesse  Use DEX for melee attack,Attaque en finesse
Use,Weapon Finesse  Use DEX for melee attack,Utiliser la
DEX,Weapon Finesse  Use DEX for melee attack,DEX
for melee attack,Weapon Finesse  Use DEX for melee attack,pour les attaques au càc
TAKE 20,TAKE 20 PER DAY,FAIRE 20
PER DAY,TAKE 20 PER DAY,PAR JOUR
Critical Focus,Critical Focus),Don pour les critiques
"loyalty,","+3 loyalty, +4bp consumption","loyauté,"
+4bp,"+3 loyalty, +4bp consumption",+4pc
consumption,"+3 loyalty, +4bp consumption",consommation
(which grants,(which grants +8 to Acrobatics),(qui donne
to Acrobatics),(which grants +8 to Acrobatics),à Acrobaties)
Damage,Damage +1,Dommage
Quick Draw,Quick Draw    Draw your weapon as a free action,Arme en main
Draw your weapon as a free action,Quick Draw    Draw your weapon as a free action,Dégainer les armes est une action libre
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Attaque puissante supérieure
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to 10/—,Ignore la réduction des dégâts jusqu'à
"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get","You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.","Vous gagnez des points de compétence par votre classe, auxquels vous ajoutez|votre modificateur d'intelligence. Allouez ces points aux compétences.|Souvenez-vous que les compétences de classe reçoivent"
only if you have at least one rank.,"You get a number of skill ranks from your class, to which you add|your intelligence modifier. Allocate these ranks to skills.|Remember that class skill get +3 only if you have at least one rank.",seulement si vous avez au moins un point.
TOUCH,TOUCH AC,TOUCHER
AC,TOUCH AC,CA
FATIGUED,FATIGUED|DURATION,FATIGUE
DURATION,FATIGUED|DURATION,DUREE
Outflank,Outflank    When flanking,Grande tenaille
When flanking,Outflank    When flanking,En prise en tenaille
Guides higher learning and magic,"Guides higher learning and magic – If vacant, -4 economy",Guide l'éducation supérieure et magique
"– If vacant,","Guides higher learning and magic – If vacant, -4 economy","- Si vacant,"
economy,"Guides higher learning and magic – If vacant, -4 economy",en économie
Cost:,Cost: all remaining pts,Coût:
all remaining pts,Cost: all remaining pts,tous les pts restants
Cleave,Cleave    Extra attack if you hit,Enchaînements
Extra attack if you hit,Cleave    Extra attack if you hit,Attaque supplémentaire si vous touchez
(which grants,(which grants +16 to Acrobatics),(qui donne
to Acrobatics),(which grants +16 to Acrobatics),à Acrobaties)
ARCANE POOL,ARCANE POOL|CAPACITY,CAPACITÉ DE
CAPACITY,ARCANE POOL|CAPACITY,RÉSERVE MAGIQUE
SPECIALITY,SPECIALITY SCHOOL,ECOLE DE
SCHOOL,SPECIALITY SCHOOL,PRÉDILECTION
Rapid shot,Rapid shot    Extra attack at full,Tir rapide
Extra attack at full,Rapid shot    Extra attack at full,Attaque supplémentaire à outrance
CURRENT,CURRENT HULL POINTS,PS
HULL,CURRENT HULL POINTS,ACTUELS
POINTS,CURRENT HULL POINTS,POINTS
Liaises with the people,"Liaises with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",En liaison avec le peuple
"– If vacant,","Liaises with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",- Si vacant
"loyalty,","Liaises with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",de loyauté
unrest at upkeep and no bonus from festivals,"Liaises with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",troubles lors des corvées et pas de bonus pour les festivals
Slow Fall,Slow Fall 90 ft,Chute ralentie
90 ft,Slow Fall 90 ft,27 m
POWER POINTS,POWER POINTS|PER DAY,POINTS DE POUVOIR
PER DAY,POWER POINTS|PER DAY,PAR JOUR
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,Coup d'enchaînement
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,Attaque supplémentaire si l'ennemi est inconscient
PROHIBITED,PROHIBITED SCHOOLS,ECOLES
SCHOOLS,PROHIBITED SCHOOLS,INTERDITES
QUIVER,QUIVER DAYS,CARQUOIS
DAYS,QUIVER DAYS,JOURS
KINETIC,KINETIC ARMOUR CLASS,CLASSE D'ARMURE
ARMOUR CLASS,KINETIC ARMOUR CLASS,CINÉTIQUE
You have,You have 10 points to allocate between your ability scores.,Vous avez 
10 points,You have 10 points to allocate between your ability scores.,10 points
to allocate between your ability scores.,You have 10 points to allocate between your ability scores.," à répartir dans vos caractéristiques."
saving throws against enchantment,+2 saving throws against enchantment,jets de sauvegarde contre l'enchantement
"economy,","+4 economy, -8 loyalty","économie,"
loyalty,"+4 economy, -8 loyalty",loyauté
WISDOM|CHECK,WISDOM|CHECK BONUS,BONUS AUX TESTS|DE
BONUS,WISDOM|CHECK BONUS,SAGESSE
Oversees international relations,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",Supervise les relations internationales
"– If vacant,","Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts","- Si vacant,"
stability and cannot issue Diplomatic or Exploration Edicts,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",en stabilité et impossible d'émettre des édits diplomatiques et d'exploration
RAGE!,RAGE! POWERS |KNOWN,POUVOIRS DE
POWERS,RAGE! POWERS |KNOWN,RAGE !
KNOWN,RAGE! POWERS |KNOWN,CONNUS
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Score de dextérité|Pénalité:
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,BONUS DE DÉGÂTS
BONUS,SNEAK DAMAGE|BONUS,D'ATTAQUE SOURNOISE
RANGED,RANGED ATTACK,ATTAQUE
ATTACK,RANGED ATTACK,À DISTANCE
Weapon Finesse,Weapon Finesse    Use DEX for melee attack,Attaque en finesse
Use,Weapon Finesse    Use DEX for melee attack,Utiliser la
DEX,Weapon Finesse    Use DEX for melee attack,DEX
for melee attack,Weapon Finesse    Use DEX for melee attack,pour les attaques au càc
Great Cleave,Great Cleave    Any number of extra attacks per round,Succession d’enchaînements
Any number of extra attacks per round,Great Cleave    Any number of extra attacks per round,Plus de limite sur le nombre d'enchaînements par tour
RAGE!,RAGE! DURATION,RAGE!
DURATION,RAGE! DURATION,DUREE
Improved Spell Recall,Improved Spell Recall|Prepare any known spell as a swift action,Science du souvenir magique
Prepare any known spell as a swift action,Improved Spell Recall|Prepare any known spell as a swift action,Préparer un sort connu en action rapide
POWER,POWER|PER DAY,POUVOIR
PER DAY,POWER|PER DAY,PAR JOUR
FORTITUDE,FORTITUDE|SAVING THROW,JET DE 
SAVING THROW,FORTITUDE|SAVING THROW,VIGUEUR
Woodland Stride,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Déplacement Facilité
Move through undergrowth at normal speed|and taking no damage,Woodland Stride|Move through undergrowth at normal speed|and taking no damage,Progresse à vitesse normale dans les taillis|ne prenant aucun dégâts
GREATER,GREATER RAGE!,SUPERIEURE
RAGE!,GREATER RAGE!,RAGE!
WILD EMPATHY,WILD EMPATHY|BONUS,BONUS
BONUS,WILD EMPATHY|BONUS,D'EMPATHIE SAUVAGE
Off-hand weapon,Off-hand weapon    (crossbow only),Arme secondaire
(crossbow only),Off-hand weapon    (crossbow only),(arbalètes seulement)
Class,"Class represents your character’s training, and determines|your abilities.",Classe
"represents your character’s training, and determines|your abilities.","Class represents your character’s training, and determines|your abilities.",", représente l'entraînement de votre personnage et|détermine ses capacités."
ft,10 ft  2 sq,m
sq,10 ft  2 sq,ca
MIGHTY,MIGHTY RAGE!,MAITRE
RAGE!,MIGHTY RAGE!,RAGE!
ENHANCEMENT,ENHANCEMENT|POOL,RÉSERVE
POOL,ENHANCEMENT|POOL,D'AMÉLIORATIONS
CONCENTRATION,CONCENTRATION|BONUS,BONUS DE
BONUS,CONCENTRATION|BONUS,CONCENTRATION
Feint Partner,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",Partenaire de feinte
"When ally feints, enemy loses","Feint Partner    When ally feints, enemy loses DEX bonus to AC","Quand un allié feinte, l'ennemi perd son bonus de"
DEX,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",DEX
bonus to,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",à la
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",CA
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,BONUS DE
BONUS,COMBAT|MANOEUVRE|BONUS,MANOEUVRE|OFFENSIVE
Slow Fall,Slow Fall Any distance,Chute ralentie
Any distance,Slow Fall Any distance,Toute distances
"stability,","+2 stability, +2bp consumption","stabilité,"
+2bp,"+2 stability, +2bp consumption",+2pc
consumption,"+2 stability, +2bp consumption",consommation
DRIFT,DRIFT|RATING,COEFFICIENT
RATING,DRIFT|RATING," DRIFT"
MELEE,MELEE ATTACK,ATTAQUE
ATTACK,MELEE ATTACK,AU CORPS À CORPS
Craft -,Craft - INT|Perform - CHA,Artisanat -
INT,Craft - INT|Perform - CHA,INT
Perform -,Craft - INT|Perform - CHA,Représentation -
CHA,Craft - INT|Perform - CHA,CHA
DAMAGE,DAMAGE|BONUS,BONUS DE|DÉGÂTS
CHANNEL,CHANNEL|RANGE,CANALISATION
RANGE,CHANNEL|RANGE,PORTEE
Pinpoint Targeting,"Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour",Viser juste
"Make a single attack that bypasses shields, armour and natural armour","Pinpoint Targeting    Make a single attack that bypasses shields, armour and natural armour",Pas de bonus d’armure ni de bouclier contre une attaque à distance
Far Shot,Far Shot    Attack penalty per range increment decreases from -2 to -1,Tir de loin
Attack penalty per range increment decreases from -2 to -1,Far Shot    Attack penalty per range increment decreases from -2 to -1,Pénalité par facteur de portée diminuée de -2 à -1
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Pas d'action ce tour-ci|Perd le bonus de
DEX,No action this round|Lose DEX bonus to AC; -2 AC,DEX
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,à la
bonus to AC; -2,No action this round|Lose DEX bonus to AC; -2 AC,-2 à la
AC,No action this round|Lose DEX bonus to AC; -2 AC,CA
Damage,Damage +1d6,Degats
+1d6,Damage +1d6,+1d6
sq,8 sq,ca
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Science du tir de précision
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Ignore les pénalités d'abri et de camouflage
(which grants,(which grants +4 to Acrobatics),(qui donne 
to Acrobatics),(which grants +4 to Acrobatics),à Acrobaties)
DAMAGE,DAMAGE REDUCTION,RÉDUCTION DES 
REDUCTION,DAMAGE REDUCTION,DÉGÂTS
Cavalry Formation,"Cavalry Formation    Share space, charge through allied mount",Formation de Cavalerie
"Share space, charge through allied mount","Cavalry Formation    Share space, charge through allied mount","Partage l'espace, charge à travers une monture alliée"
May roll,May roll 2d8 in place of your expertise bonus.,Dé de Maîtrise : vous pouvez lancer 
2d8,May roll 2d8 in place of your expertise bonus.,2d8
in place of your expertise bonus.,May roll 2d8 in place of your expertise bonus.," au lieu de 1d8+4."
(which grants,(which grants +24 to Acrobatics checks for jumping),qui donne
to Acrobatics checks for jumping),(which grants +24 to Acrobatics checks for jumping),aux tests d’Acrobaties relatifs à des sauts
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,CLASSE|D'ARMURE
PENALTY,ARMOUR|CLASS|PENALTY,PENALITE
FORTITUDE,FORTITUDE SAVE,JET DE
SAVE,FORTITUDE SAVE,VIGUEUR
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Résister à l'Appel de la Nature
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 aux jets de sauvegarde contre les Fées et les Plantes
INT,+ INT| per level,INT
per level,+ INT| per level,par niveau
CONCENTRATION,CONCENTRATION|SAVE DC,DD DU JET DE
SAVE DC,CONCENTRATION|SAVE DC,CONCENTRATION
UNARMED ATTACK,UNARMED ATTACK BONUS,ATTAQUE A MAIN NUE
BONUS,UNARMED ATTACK BONUS,BONUS
UNREST,UNREST LEVEL,NIVEAU
LEVEL,UNREST LEVEL,D'INSÉCURITÉ
Focused shot,Focused shot    Within 30ft,Tir avec concentration
Within,Focused shot    Within 30ft,Dans les
30ft,Focused shot    Within 30ft,9m
Coordinated Defence,Coordinated Defence    +2 to CMD,Défense coordonnée
to,Coordinated Defence    +2 to CMD,au
CMD,Coordinated Defence    +2 to CMD,DMD
to all Knowledge skills as long as you have at least 1 ki point in you pool,+2 to all Knowledge skills as long as you have at least 1 ki point in you pool,à tous les tests de Connaissances pour autant que vous ayez au moins 1 point de ki dans votre réserve
= 1d4,= 1d4 +,= 1d4
SPELL,SPELL RESISTANCE,RÉSISTANCE
RESISTANCE,SPELL RESISTANCE,À LA MAGIE
GRAPPLE,GRAPPLE BONUS,BONUS DE
BONUS,GRAPPLE BONUS,LUTTE
Fast Movement,Fast Movement +20 ft,Déplacement accéléré
+20 ft,Fast Movement +20 ft,+6 m
Snap shot,Snap shot    AoO with a ranged weapon within 5ft,Tir soudain
AoO with a ranged weapon within,Snap shot    AoO with a ranged weapon within 5ft,"Avec arme à distance, menace les cases à"
5ft,Snap shot    AoO with a ranged weapon within 5ft,"1,5m"
RAGE!,RAGE!|Duration,RAGE !
Duration,RAGE!|Duration,DUREE
USES,USES|PER DAY,UTILISATIONS
PER DAY,USES|PER DAY,PAR JOUR
FEAR EFFECT,FEAR EFFECT|WILL BONUS,TERREUR | BONUS VOLONTE
HEALING,HEALING|HIT POINTS,SOINS
HIT POINTS,HEALING|HIT POINTS,POINTS DE VIE
Greater snap shot,Greater snap shot    Damage and critical confirmation bonus,Tir soudain supérieur
Damage and critical confirmation bonus,Greater snap shot    Damage and critical confirmation bonus,Bonus de dégâts et confirmation de critiques
Trackless Step,"Trackless Step|Leave no trail, unless deliberately",PASSAGE SANS TRACES
"Leave no trail, unless deliberately","Trackless Step|Leave no trail, unless deliberately","Vous ne laissez pas de traces, sauf délibérement"
FLAT-FOOTED,FLAT-FOOTED|CMD,PRIS AU DEPOURVU
CMD,FLAT-FOOTED|CMD,DMD
RAGE!,RAGE!|PER DAY,RAGE!
PER DAY,RAGE!|PER DAY,PAR JOUR
WEAPON,WEAPON BONUSES,BONUS
BONUSES,WEAPON BONUSES,D'ARME
Haste,Haste    One extra attack at full bonus,Rapidité
One extra attack at full bonus,Haste    One extra attack at full bonus,Une attaque supplémentaire au bonus maximal
MANOEUVRE,MANOEUVRE AC,CA
AC,MANOEUVRE AC,MANOEUVRES OFFENSIVES
Level,100’+ 10’ × Level,Niveau
POWER POINTS,POWER POINTS|MAX COST,POINTS DE POUVOIR
MAX COST,POWER POINTS|MAX COST,COUT MAX
WILL,WILL SAVE DC,JET DE SAUVEGARDE DE
SAVE DC,WILL SAVE DC,VOLONTÉ
"to Strength, Dexterity and Wisdom score","+2 to Strength, Dexterity and Wisdom score","Au score de Force, Dextérité et Savoir."
Cheat Death,Cheat Death    Restore hp equal to all remaining grit,Feinter la faucheuse
Restore hp equal to all remaining grit,Cheat Death    Restore hp equal to all remaining grit,Récupère 1 pv en dépensant toute l'audace
Fast Movement,Fast Movement +60 ft,Déplacement accéléré
+60 ft,Fast Movement +60 ft,+18 m
DC,DC +1,DD
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,DÉLUGE DE COUPS
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,BONUS D'ATTAQUE DE BASE
MILITARY,MILITARY    Create armed units (comes from allocation for settling towns),ARMÉE
Create armed units (comes from allocation for settling towns),MILITARY    Create armed units (comes from allocation for settling towns),Créer des unités armées (provient de l'allocation pour la création de villes)
+ 10 to speed|unless wearing|heavy armour,,Vitesse +3m|sauf en|armure lourde
BANNER,,BANNIÈRE
5% of PCU added to shields equally,,5% d'UE ajouté aux boucliers équitablement
Trap Sense +3,,Sens des pièges +3
3.5e,,3.5
rp,,pp
INSPIRE COMPETENCE,,INSPIRATION TALENTUEUSE
Debit,,Débit
Profession (scribe),,Profession (scribe)
Cleric|Level,,Prêtre|Niveau
Bonus to AC for 1 minute.,,Bonus à la CA pour 1 minute.
RANGE,,PORTÉE
BONDED WEAPON,,ARME LIÉE
Taxation,,Taxes
Druid Level,,Niveau de druide
Used,,Utilisé
Gender,,Sexe
CHAOTIC,,CHAOTIQUE
Profession (herbalist),,Profession (herboriste)
"Always round down. If you have odd numbers in your ability scores,|there will be a chance to adjust the scores at later levels.",,"Arrondissez toujours vers le bas. Si vous avez des scores impairs,|il sera possible de les ajuster aux niveaux supérieurs."
"Each level you take a combat feat, you may also swap an existing|combat feat.",,"À chaque niveau où vous gagnez un don de combat, vous pouvez|échanger un don de combat que vous possédez déjà."
Cast each of your connection spells once a day without|spending a spell slot.,,Incantez chacun de vos sorts de connexion une fois par jour|sans dépenser d’emplacement de sort.
Ki Pool (lawful),,Réserve de ki (loyale)
Settlement name,,Nom de la colonie
2 × Shortsword,,2 x Epee Courte
Rank,,Rang
Base Value,,Valeur de base
INFUSION,,INFUSION
FIGHTING STYLE,,STYLE DE COMBAT
Soulknife|Level,,Niveau|d'Âme acérée
MEDIUM RANGE,,PORTÉE MOYENNE
"Diplomacy, Handle Animal",,"Diplomatie, Dressage"
Perform (dance),,Représentation (danse)
"Select a bonus feat for your style at 2nd, 6th, 10th, 14th and 18th levels:",,"Choisissez un don supplémentaire pour votre style aux niveaux 2, 6, 10, 14 et 18:"
Use your own caster level for calculating the DC of wands,,Utilisez votre propre niveau pour calculer le DD des baguettes
EVENT,,ÉVÉNEMENT
Melee attacks and damage,,Attaques au corps à corps et dégâts
DC 10 Computers check to add an appropriate|basic function.,,Test d’Informatique DD 10 pour ajouter une fonction|de base.
Trapfinding,,Détection de pièges
"Your two alignments must be within 1 step of each other.|Both alignments are real for the purpose of spells, abilities etc.",,"Vos deux alignements doivent être à un cran l'un de l'autre.|Chaque alignement sont réels pour les sorts, capacités, etc."
Spell resistance,,Rés. à la magie
OTHER,,AUTRE
Craft (sculptures),,Artisanat (sculptures)
+10 to move at full speed,,+10 pour se déplacer à pleine vitesse
Buffs,,Améliorations
ROGUE TALENTS,,TALENTS DE ROUBLARD
DR 5/— when wearing armour or using a shield,,RD 5/- en portant une armure ou un bouclier
Friendly,,Amical
Belts,,Ceintures
Twin eidolon,,Eidolon jumeau
Craft (armour),,Artisanat (armures)
Piloting,,PIlotage
Sundry,,Divers
BARD,,BARDE
Evil Paladin,,Paladin maléfique
SHOOT,,TIR
DIVERT,,TRANSFERT
Greater ),,Supérieure )
Your weapon and armour proficiencies,,Vos maniements d'armes et d'armures
Calculate your six ability modifiers,,Calculez vos six modificateurs de caractéristiques
WHOLENESS OF BODY,,PERFECTION DE L'ÊTRE
Components,,Composants
A successful strike with smite evil|bypasses damage reduction.,,Une attaque réussie avec le châtiment du Mal|ignore la réduction de dégâts
Any other racial abilities,,Toute autre habilité raciale
Security Key,,Clé de sécurité
Hit|Die,,Touche|Meurt
Mechanic|Level,,Niveau de|Mécano
to negate,,pour annuler
SINGLE,,SIMPLE
Cash,,Argent
Bonus Spell,,Sorts en Bonus
Actions,,Actions
Knowledge (dungeoneering),,Connaissance (exploration souterraine)
PATH ABILITIES,,COMPETENCES DE VOIE
Improved Grapple,,Science de la lutte
Subtype,,Sous-type
"Optionally, fix it with glue",,"Éventuellement, réparer le avec de la colle"
Ability score upgrades,,Augmentations de caractéristiques
To project your consciousness beyond your body|as an intangible psychic image:,,Pour projeter votre conscience en dehors de votre|corps sous forme d’une image physique immatérielle :
VENGEANCE STRIKE,,FRAPPE VENGERESSE
FAVOURED TERRAIN BONUS,,BONUS SUR LES ENVIRONNEMENTS DE PRÉDILECTION
Augmentation,,Augmentation
Unarmed Strike,,Combat à mains nues
KI|POOL,,RÉSERVE|DE KI
Sickening Critical,,Critique fébrile
RECUPERATION,,RECUPERATION
Chest,,Coffre
"Bonus only applied when unarmoured,|unencumbered and not helpless",,"Ce bonus ne s'applique que sans armure,|pas encombré et pas sans défense"
WILD TALENTS,,TALENTS SAUVAGES
Improved two-weapon fighting,,Science du Combat à deux Armes
/  Town,,/ Ville
TACTICIAN,,STRATEGE
Race +|Theme,,Race +|Thème
Apply the Inspiration bonus to any skill check.,,Applique le bonus d'inspiration pour toutes les verification de talents.
Quirks,,Excentricités
LOY,,LOY
Use your own CHA bonus for calculating the DC of wands,,Utilisez votre CHA bonus pour calculer le DD des baguettes
Temp|Score,,Valeur|temp.
FAVOURED TERRAINS,,ENVIRONNEMENTS DE PRÉDILECTION
Burrow,,S'enterrer
CON|Increase,,CON|Augmente
MECHANIC,,MÉCANO
3 tricks,,3 inductions
SKILL EXPERTISE,,MAÎTRISE DE COMPÉTENCE
Base,,Base
"Fly at ½ speed, turn at end.",,"Déplacement à ½ vitesse, se|retourne à la fin."
Class abilities,,Capacités de classe
Arcane Sight,,Vision Magique
Take your first level,,Prend ton premier niveau
BARBARIAN,,BARBARE
AI,,IA
PRECISE TARGETING,,Ciblage précis
Barbarian,,Barbare
40ft,,"12,00 m"
1d6 +,,1d6 +
Can be counterspelled,,Peut être contré par un contre-sort
Bear’s Endurance,,Endurance de l'ours
Credit,,Crédit
Distance,,Distance
5 tricks,,5 inductions
30ft,,9m
Bleeding Critical,,Critique sanglant
Bards can use all knowledge skills untrained,,Les Bardes peuvent utiliser toutes les compétences de Connaissance non entrainés
Ki Pool (magic),,Réserve de ki (magique)
STABILITY,,STABILITÉ
120ft,,36m
3-Level|Bonus,,Bonus|Niveau 3
Vigilante|Level,,Niveau de|Justicier
Racial,,Racial
Knowledge: Nature,,Connaissances: Nature
Good,,Bien
+30ft,,+9m
Speak with any living creature,,Parler à n'importe quelle créature vivante
UNSTOPPABLE,,INSTOPPABLE
"Roll a hit die (unless this is your first level, in which case you get the|maximum you could have rolled) and add your constitution modifier.",,"Lancez un dé vie (sauf au premier niveau, au quel cas vous recevez|le maximum qui aurait pu être lancé) et ajoutez votre modificateur de constitution."
Spend 1 resolve and a computers check to gain|+2 against one enemy for this round.,,Dépensez 1 pp et faites un test d’informatique|pour donner +2 contre un ennemi ce tour.
CLOSE RANGE,,PORTÉE COURTE
(BARBARIAN),,(BARBARE)
Rewards,,Récompense
5% of PCU distributed between shields,,5% de l’indice d’UE est régénéré
"If unrest reaches 20, the kingdom falls into anarchy",,"Si l'insécurité atteint 20, le royaume tombe en anarchie"
TAKE A CLASS LEVEL,,PRENEZ UN NIVEAU DE CLASSE
General,,Général
6d6,,6d6
CURE / INFLICT,,SOIGNER / INFLIGER
"Encased in armour. +10 hardness, +8 to relevant saves",,"Protégé par une coque. Solidité +10, +8 aux jets de sauvegarde"
• Nauseated,,* Nauséeux
